analysis_date,universe_n,adv20_n,adv20_mean,adv20_p01,adv20_p05,adv20_p10,adv20_p25,adv20_p50,adv20_p75,adv20_p90,adv20_p95,adv20_p99,adv60_n,adv60_mean,adv60_p01,adv60_p05,adv60_p10,adv60_p25,adv60_p50,adv60_p75,adv60_p90,adv60_p95,adv60_p99
2019-05-31,3573,3573,134545120.79621488,8720375.063420197,12934542.3,17114111.218000032,29600383.31549988,58827950.796498105,131186936.1620018,294570021.16039926,471575852.1838005,1166792303.3279998,3572,201059001.64752707,19724931.094,28453999.751733333,36575161.815,59452796.4125,107861551.60441792,212333815.37604147,420512516.6951007,640898174.873725,1569340602.932674
2019-06-28,3579,3579,124969984.83745937,7466318.339000001,11381363.18,15501263.180700151,26291944.02025032,54348596.45,122608363.16499823,280378551.63,455812833.0893989,1104417917.5251231,3578,162712142.24676052,14550145.236073546,20735447.727300074,26919393.17198387,45094441.96674989,82518484.90849991,166659282.92074955,353572407.3624995,556077692.9266974,1245344891.3743253
2019-07-31,3591,3591,98383385.85021612,5489213.605,8955395.895750236,11778826.467500305,20513301.1,42705110.202000424,100241460.14974976,213050514.65,334171736.8329998,859851416.6762004,3588,119676064.88734591,8172967.679248294,12035872.937966937,16048627.296716869,28034919.625333723,56067208.54491679,123341017.70520827,261952561.04971603,407620407.4962163,1003202763.4042183
2019-08-30,3602,3602,116949124.01310375,5536128.84717997,8418507.487499999,11624465.181200065,21166778.505124282,46551496.74600067,118068821.909375,261534789.76219848,414366997.4149996,1101380796.5785744,3601,115361673.06465425,6665856.816666666,10828908.059499996,14500772.490833027,25103772.01883494,52328425.52833354,117073522.68533325,249775606.07266694,392254909.8,987123333.0166667
2019-09-30,3617,3617,151692649.783744,7303761.414959411,12494642.126098938,16725378.46,29835769.347999573,67299643.6819992,158331987.35,327716002.8705997,513760583.81229955,1464977416.816832,3615,122913669.27740824,6348328.765213308,10787379.1367835,14484480.34666667,25622447.732166797,55610469.65083415,129746768.16666667,265320750.3577331,429320652.0339661,1145155275.8624392
2019-10-31,3654,3654,112336053.04362722,5417289.323,9201406.982850075,12521017.85639923,21894313.75162525,49598643.75,117273349.33725014,245408664.49500015,386830532.4972936,1119815683.1904323,3649,129523524.07900937,6756052.513379842,11123527.836167093,15140313.807867024,26719756.033000056,58908244.93333333,137684814.87516683,284067175.2602332,442547616.9452338,1189540452.1798024
2019-11-29,3664,3664,106196915.57877417,4230031.418664755,7168612.165024872,9478844.751500167,17010161.948499966,40339772.9597496,103870959.03462696,238699104.95625436,402587943.5661998,1069711465.1463886,3662,125319743.12190521,6495886.414116655,10961488.568866666,14424589.843650233,26252686.579166666,58042088.436749905,130751328.85524915,274260721.4088168,426504382.6703417,1180261438.5056472
2019-12-31,3674,3674,139085037.36881745,6280215.16,11087988.437149696,14560163.26165001,25150071.059749603,55792672.43750076,137126453.8695011,311716795.64160436,522900558.5296234,1358544625.8374588,3672,119733571.84699334,6035706.819516563,10227455.261466777,13714146.205,23111008.466832988,52248172.2358332,123873516.32145831,266528892.1838834,435153618.8603261,1143568000.8361356
2020-01-23,3698,3698,178332581.95420668,8755090.27197485,15212542.495975038,20123877.539702076,36121309.55687446,78602252.87475014,186285250.69400215,408720624.9204482,651216353.6416191,1498713462.2606826,3686,138760988.67921728,7058998.083400002,12080845.795833332,15578754.178249486,27253507.979166668,60481840.04033318,143064525.86254147,313557084.927832,494605825.0508762,1287101801.3959446
2020-02-28,3726,3726,258057646.3246991,9707433.753499793,16355222.225125026,22566277.099999618,43863590.30462837,106704990.25949937,261381245.78262272,591046379.7665001,975397213.5125005,2284661342.1328826,3717,188326136.83669406,8734587.51271997,14951008.128033396,20095109.83793325,37839304.95000051,83374873.81100006,195081755.55,425469511.57333344,677578491.8248671,1725785564.3105536
