analysis_date,universe_n,current_record_n,current_record_share,current_open_known_n,current_open_share,current_suspended_n,full_coverage_20_n,full_coverage_20_share,coverage_20_ge_80pct_share,adv20_nonmissing_share,full_coverage_60_n,full_coverage_60_share,coverage_60_ge_80pct_share,adv60_nonmissing_share
2021-12-31,4497,4497,1.0,4497,0.9979986657771848,9,4497,1.0,1.0,1.0,4490,0.9984434067155882,1.0,0.9984434067155882
2022-01-28,4533,4533,1.0,4533,0.99867637326274,6,4533,1.0,1.0,1.0,4525,0.9982351643503199,1.0,0.9982351643503199
2022-02-28,4559,4559,1.0,4559,0.9989032682605835,5,4559,1.0,1.0,1.0,4552,0.9984645755648168,1.0,0.9984645755648168
2022-03-31,4603,4603,1.0,4603,0.9978275038018684,10,4603,1.0,1.0,1.0,4598,0.9989137519009341,1.0,0.9989137519009341
2022-04-29,4629,4629,1.0,4629,0.9930870598401382,32,4629,1.0,1.0,1.0,4623,0.998703823720026,1.0,0.998703823720026
2022-05-31,4638,4638,1.0,4638,0.992453643811988,35,4638,1.0,1.0,1.0,4634,0.9991375592927986,1.0,0.9991375592927986
2022-06-30,4635,4635,1.0,4635,0.9984897518878102,7,4635,1.0,1.0,1.0,4629,0.998705501618123,1.0,0.998705501618123
2022-07-29,4666,4666,1.0,4666,0.9987141020145736,6,4666,1.0,1.0,1.0,4664,0.9995713673381912,1.0,0.9995713673381912
2022-08-31,4689,4689,1.0,4689,0.99957346982299,2,4689,1.0,1.0,1.0,4688,0.999786734911495,1.0,0.999786734911495
2022-09-30,4727,4727,1.0,4727,0.9985191453353078,7,4727,1.0,1.0,1.0,4721,0.9987306960016924,1.0,0.9987306960016924
2022-10-31,4749,4749,1.0,4749,0.9985260054748368,7,4749,1.0,1.0,1.0,4738,0.9976837228890293,1.0,0.9976837228890293
2022-11-30,4789,4789,1.0,4789,0.9997911881394863,1,4789,1.0,1.0,1.0,4785,0.9991647525579453,1.0,0.9991647525579453
2022-12-30,4834,4834,1.0,4834,0.9985519238725693,7,4834,1.0,1.0,1.0,4828,0.9987587918907737,1.0,0.9987587918907737
2023-01-31,4858,4858,1.0,4858,0.9977356937011116,11,4858,1.0,1.0,1.0,4855,0.999382461918485,1.0,0.999382461918485
2023-02-28,4876,4876,1.0,4876,0.9987694831829368,6,4876,1.0,1.0,1.0,4871,0.998974569319114,1.0,0.998974569319114
2023-03-31,4898,4898,1.0,4898,0.9993875051041241,3,4898,1.0,1.0,1.0,4897,0.999795835034708,1.0,0.999795835034708
2023-04-28,4909,4909,1.0,4909,0.9930739458138114,34,4909,1.0,1.0,1.0,4904,0.9989814626196781,1.0,0.9989814626196781
