block_length,resample,valid,converged,n_iter,dual_gap,n_edges,reason
20,96,True,True,5,5.031498704743953e-05,47,
20,97,True,True,4,9.400414016402792e-05,49,
20,98,True,True,5,-7.512073181548118e-05,48,
20,99,True,True,5,5.904424329727931e-05,48,
20,100,True,True,5,5.5838350714765284e-05,59,
20,101,True,True,4,2.413808739554213e-06,52,
20,102,True,True,5,3.476411292524517e-05,50,
20,103,True,True,4,-6.766185018802773e-05,51,
20,104,True,True,5,-8.45801845690275e-05,47,
20,105,True,True,6,4.5621390120764715e-05,51,
20,106,True,True,5,3.5969346905861954e-05,46,
20,107,True,True,5,3.7968004220623186e-05,45,
20,108,True,True,4,8.601117740303366e-05,53,
20,109,True,True,4,-4.53728552991528e-05,48,
20,110,True,True,6,2.8332481901482964e-05,53,
20,111,True,True,5,5.9379303623430246e-05,47,
20,112,True,True,5,5.1374969020745453e-05,44,
20,113,True,True,5,2.6712738672163283e-05,46,
20,114,True,True,4,9.045440407673411e-05,52,
20,115,True,True,6,3.999862273484922e-05,49,
20,116,True,True,4,-5.3916286537170066e-05,52,
20,117,True,True,5,2.1205921830969032e-05,49,
20,118,True,True,5,6.53636084546605e-05,54,
20,119,True,True,5,7.077435284141842e-05,52,
20,120,True,True,5,8.157975514677673e-05,57,
20,121,True,True,5,8.824958624487067e-05,47,
20,122,True,True,3,-4.654432191442126e-05,51,
20,123,True,True,4,7.285291772873848e-05,47,
20,124,True,True,5,1.222939292055969e-06,49,
20,125,True,True,5,3.5255283497459544e-05,48,
20,126,True,True,5,-2.60417171653593e-05,51,
20,127,True,True,3,5.398166502246227e-06,56,
20,128,True,True,6,2.0957056412918007e-05,52,
20,129,True,True,3,5.0989022549075e-05,43,
20,130,True,True,5,3.0668344911610745e-05,44,
20,131,True,True,5,4.420600270416131e-05,51,
20,132,True,True,5,8.712975427282998e-05,50,
20,133,True,True,5,5.370622622269394e-05,53,
20,134,True,True,5,-3.1890252363275806e-05,48,
20,135,True,True,5,3.768590618147272e-05,48,
20,136,True,True,4,-2.624511531257312e-05,50,
20,137,True,True,3,-8.915452079216735e-05,45,
20,138,True,True,5,-6.630175895860901e-06,46,
20,139,True,True,5,2.4535310421569534e-05,48,
20,140,True,True,5,-5.6039711889610544e-05,49,
20,141,True,True,7,-2.424988276938933e-05,56,
20,142,True,True,5,8.772566345083277e-05,51,
20,143,True,True,5,8.391413427055738e-05,54,
20,144,True,True,4,2.1413388668456435e-05,47,
20,145,True,True,5,-5.4227557302333196e-05,44,
20,146,True,True,5,4.634950714255126e-05,57,
20,147,True,True,5,6.60196156818671e-05,47,
20,148,True,True,5,4.899651691037121e-05,56,
20,149,True,True,5,6.320036351681324e-05,52,
20,150,True,True,5,5.713108408489376e-05,47,
20,151,True,True,2,9.079096365915973e-05,47,
20,152,True,True,6,4.095538937232135e-05,55,
20,153,True,True,5,3.7568470742321836e-05,45,
20,154,True,True,5,3.6869199584455004e-05,50,
20,155,True,True,3,-4.197916209092156e-05,52,
20,156,True,True,6,6.444290657814378e-05,58,
20,157,True,True,5,-3.578447397289963e-05,51,
20,158,True,True,5,8.44777035506894e-05,51,
20,159,True,True,5,3.214876030099845e-05,50,
20,160,True,True,5,-1.9345187753483373e-05,52,
20,161,True,True,6,2.15902208484664e-05,41,
20,162,True,True,5,6.304907380805247e-05,51,
20,163,True,True,5,5.963923070773092e-05,49,
20,164,True,True,4,-4.85193164432296e-05,46,
20,165,True,True,5,3.370160303406422e-05,44,
20,166,True,True,4,-5.6410170513387925e-05,51,
20,167,True,True,4,-9.583334207352578e-05,44,
20,168,True,True,5,4.915681459483068e-05,53,
20,169,True,True,5,3.25361779673905e-05,50,
