window_from,window_to,date_from,date_to,stock_1,name_1,industry_1,stock_2,name_2,industry_2,change_type
28,29,2026-04-15,2026-05-18,002460,赣锋锂业,新能源,603501,韦尔股份,电子,lost
28,29,2026-04-15,2026-05-18,600030,中信证券,非银金融,600519,贵州茅台,食品饮料,lost
28,29,2026-04-15,2026-05-18,600030,中信证券,非银金融,600887,伊利股份,食品饮料,lost
28,29,2026-04-15,2026-05-18,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,gained
28,29,2026-04-15,2026-05-18,600887,伊利股份,食品饮料,601318,中国平安,非银金融,gained
28,29,2026-04-15,2026-05-18,601288,农业银行,银行,603501,韦尔股份,电子,gained
29,30,2026-05-18,2026-06-15,000725,京东方A,电子,002460,赣锋锂业,新能源,lost
29,30,2026-05-18,2026-06-15,000725,京东方A,电子,600030,中信证券,非银金融,lost
29,30,2026-05-18,2026-06-15,000858,五粮液,食品饮料,002415,海康威视,电子,lost
29,30,2026-05-18,2026-06-15,002460,赣锋锂业,新能源,601398,工商银行,银行,gained
29,30,2026-05-18,2026-06-15,600030,中信证券,非银金融,600887,伊利股份,食品饮料,gained
30,31,2026-06-15,2026-07-14,000725,京东方A,电子,002475,立讯精密,电子,lost
30,31,2026-06-15,2026-07-14,002415,海康威视,电子,600887,伊利股份,食品饮料,lost
30,31,2026-06-15,2026-07-14,000725,京东方A,电子,601398,工商银行,银行,gained
