window_id,window_start,window_end,network_date,code,name,industry,degree,strength
7,2023-07-06,2024-07-18,2024-07-18,603501,韦尔股份,电子,4,0.49715632145035504
7,2023-07-06,2024-07-18,2024-07-18,002475,立讯精密,电子,6,0.4678820553566444
7,2023-07-06,2024-07-18,2024-07-18,601318,中国平安,非银金融,9,1.135259487627601
7,2023-07-06,2024-07-18,2024-07-18,600030,中信证券,非银金融,9,0.7324832506864943
8,2023-08-03,2024-08-15,2024-08-15,000001,平安银行,银行,7,0.8423167808082819
8,2023-08-03,2024-08-15,2024-08-15,600036,招商银行,银行,5,0.8309647219304757
8,2023-08-03,2024-08-15,2024-08-15,601398,工商银行,银行,4,0.8124957486046193
8,2023-08-03,2024-08-15,2024-08-15,601288,农业银行,银行,2,0.6842616776825728
8,2023-08-03,2024-08-15,2024-08-15,600519,贵州茅台,食品饮料,6,0.782908422430106
8,2023-08-03,2024-08-15,2024-08-15,000858,五粮液,食品饮料,10,1.170133042141436
8,2023-08-03,2024-08-15,2024-08-15,000568,泸州老窖,食品饮料,8,0.8987750143273722
8,2023-08-03,2024-08-15,2024-08-15,600887,伊利股份,食品饮料,9,0.5795484862297071
8,2023-08-03,2024-08-15,2024-08-15,002460,赣锋锂业,新能源,9,0.6349186332584178
8,2023-08-03,2024-08-15,2024-08-15,002415,海康威视,电子,9,0.72190594248468
8,2023-08-03,2024-08-15,2024-08-15,000725,京东方A,电子,7,0.6470022662278387
8,2023-08-03,2024-08-15,2024-08-15,603501,韦尔股份,电子,6,0.5737047099855289
8,2023-08-03,2024-08-15,2024-08-15,002475,立讯精密,电子,6,0.4902657972629056
8,2023-08-03,2024-08-15,2024-08-15,601318,中国平安,非银金融,9,1.0519689000205519
8,2023-08-03,2024-08-15,2024-08-15,600030,中信证券,非银金融,9,0.7446820687832876
9,2023-08-31,2024-09-12,2024-09-12,000001,平安银行,银行,8,0.7894570330390615
9,2023-08-31,2024-09-12,2024-09-12,600036,招商银行,银行,5,0.7937051174538418
9,2023-08-31,2024-09-12,2024-09-12,601398,工商银行,银行,4,0.7828857180728933
9,2023-08-31,2024-09-12,2024-09-12,601288,农业银行,银行,3,0.7251288883313016
9,2023-08-31,2024-09-12,2024-09-12,600519,贵州茅台,食品饮料,6,0.789303894267715
9,2023-08-31,2024-09-12,2024-09-12,000858,五粮液,食品饮料,11,1.2000488864625125
9,2023-08-31,2024-09-12,2024-09-12,000568,泸州老窖,食品饮料,8,0.9478426535143304
9,2023-08-31,2024-09-12,2024-09-12,600887,伊利股份,食品饮料,7,0.5408686544932833
9,2023-08-31,2024-09-12,2024-09-12,002460,赣锋锂业,新能源,9,0.6101945656311734
9,2023-08-31,2024-09-12,2024-09-12,002415,海康威视,电子,8,0.767769017195558
9,2023-08-31,2024-09-12,2024-09-12,000725,京东方A,电子,8,0.5612113442657636
9,2023-08-31,2024-09-12,2024-09-12,603501,韦尔股份,电子,7,0.6417580884004145
9,2023-08-31,2024-09-12,2024-09-12,002475,立讯精密,电子,5,0.4619448862614512
9,2023-08-31,2024-09-12,2024-09-12,601318,中国平安,非银金融,8,0.9711720429048947
9,2023-08-31,2024-09-12,2024-09-12,600030,中信证券,非银金融,11,0.8228455151199736
10,2023-09-28,2024-10-21,2024-10-21,000001,平安银行,银行,8,0.8957693784531082
10,2023-09-28,2024-10-21,2024-10-21,600036,招商银行,银行,5,0.835551117912754
10,2023-09-28,2024-10-21,2024-10-21,601398,工商银行,银行,3,0.8209576830841798
10,2023-09-28,2024-10-21,2024-10-21,601288,农业银行,银行,3,0.708950351472356
10,2023-09-28,2024-10-21,2024-10-21,600519,贵州茅台,食品饮料,7,0.8493661726321255
10,2023-09-28,2024-10-21,2024-10-21,000858,五粮液,食品饮料,10,1.2421802284879866
10,2023-09-28,2024-10-21,2024-10-21,000568,泸州老窖,食品饮料,9,1.0148036697229872
10,2023-09-28,2024-10-21,2024-10-21,600887,伊利股份,食品饮料,9,0.7240231638778731
10,2023-09-28,2024-10-21,2024-10-21,002460,赣锋锂业,新能源,10,0.7154936629721276
10,2023-09-28,2024-10-21,2024-10-21,002415,海康威视,电子,8,0.9110947094566415
10,2023-09-28,2024-10-21,2024-10-21,000725,京东方A,电子,8,0.7416873045066178
10,2023-09-28,2024-10-21,2024-10-21,603501,韦尔股份,电子,7,0.7875870974608533
10,2023-09-28,2024-10-21,2024-10-21,002475,立讯精密,电子,6,0.5188527096111394
10,2023-09-28,2024-10-21,2024-10-21,601318,中国平安,非银金融,9,1.075195122342762
10,2023-09-28,2024-10-21,2024-10-21,600030,中信证券,非银金融,8,0.6499834503815308
11,2023-11-03,2024-11-18,2024-11-18,000001,平安银行,银行,7,0.8905365233058427
11,2023-11-03,2024-11-18,2024-11-18,600036,招商银行,银行,5,0.8400052635939967
11,2023-11-03,2024-11-18,2024-11-18,601398,工商银行,银行,3,0.8320761837282697
11,2023-11-03,2024-11-18,2024-11-18,601288,农业银行,银行,3,0.7210365476930404
11,2023-11-03,2024-11-18,2024-11-18,600519,贵州茅台,食品饮料,7,0.9257980351187196
11,2023-11-03,2024-11-18,2024-11-18,000858,五粮液,食品饮料,10,1.183081721398035
