stock_1,stock_2,frequency_L10,mean_partial_L10,sign_consistency_L10,frequency_L20,mean_partial_L20,sign_consistency_L20,frequency_L40,mean_partial_L40,sign_consistency_L40,min_frequency,mean_frequency,max_frequency,frequency_range,stable_all_block_lengths,core_all_block_lengths
600036,601318,1.0,0.16303479090980716,1.0,1.0,0.1612830668274287,1.0,0.995,0.16060446106357437,1.0,0.995,0.9983333333333334,1.0,0.0050000000000000044,True,True
600519,601318,0.995,0.07780786994585051,1.0,1.0,0.08011872943806925,1.0,1.0,0.07549444056554118,1.0,0.995,0.9983333333333334,1.0,0.0050000000000000044,True,True
002415,000725,1.0,0.10946500271411999,1.0,0.995,0.11887872923910828,1.0,0.995,0.12147387847381544,1.0,0.995,0.9966666666666667,1.0,0.0050000000000000044,True,True
000001,000858,0.985,0.06315169117464745,1.0,0.985,0.05842227925729876,1.0,0.995,0.057738323381825815,1.0,0.985,0.9883333333333333,0.995,0.010000000000000009,True,True
000001,600887,0.98,0.0693156833562728,1.0,1.0,0.07437131824114628,1.0,1.0,0.07266619611553128,1.0,0.98,0.9933333333333333,1.0,0.020000000000000018,True,True
600887,601318,0.98,0.06796484482980412,1.0,0.995,0.06739868469026486,1.0,0.995,0.07118201408297749,1.0,0.98,0.9900000000000001,0.995,0.015000000000000013,True,True
002460,002415,0.975,0.07535643194545902,1.0,0.975,0.07995379313983277,1.0,0.96,0.07864182315569249,1.0,0.96,0.9700000000000001,0.975,0.015000000000000013,True,True
000858,600030,0.955,0.04271306414312529,1.0,0.985,0.041415386225232005,1.0,0.99,0.03753222853002757,1.0,0.955,0.9766666666666666,0.99,0.03500000000000003,True,True
000725,002475,0.955,0.08733077702803399,1.0,0.955,0.08015309880099414,1.0,0.97,0.0947073772425142,1.0,0.955,0.96,0.97,0.015000000000000013,True,True
002460,002475,0.975,0.06439248158940811,1.0,0.97,0.05959395207523948,1.0,0.935,0.05267429103240299,1.0,0.935,0.96,0.975,0.039999999999999925,True,True
000568,600030,0.93,0.043415632814436,1.0,0.965,0.04335312863191472,1.0,0.96,0.04105793308631297,1.0,0.93,0.9516666666666667,0.965,0.03499999999999992,True,True
000568,601318,0.955,0.04658322958410582,1.0,0.955,0.04514747507848792,1.0,0.91,0.0461902046043753,1.0,0.91,0.94,0.955,0.04499999999999993,True,True
600887,600030,0.915,0.06176744336890827,1.0,0.91,0.05610761784516048,1.0,0.96,0.05583596574654338,1.0,0.91,0.9283333333333333,0.96,0.04999999999999993,True,True
002415,601318,0.925,0.05192539928636098,1.0,0.915,0.058898431838448145,1.0,0.905,0.06674781047791706,1.0,0.905,0.915,0.925,0.020000000000000018,True,True
600036,601288,0.915,0.030146807722409793,1.0,0.915,0.02559118626917272,1.0,0.895,0.030946077394156935,1.0,0.895,0.9083333333333333,0.915,0.020000000000000018,True,False
000725,600030,0.905,0.05413427793223415,1.0,0.895,0.06384384900443282,1.0,0.915,0.0733301694224412,1.0,0.895,0.9049999999999999,0.915,0.020000000000000018,True,False
000858,002415,0.94,0.041826922511407606,1.0,0.925,0.041140553680263585,1.0,0.89,0.03436008677348223,1.0,0.89,0.9183333333333333,0.94,0.04999999999999993,True,False
002460,603501,0.875,0.040153907621101825,1.0,0.87,0.04754200190521326,1.0,0.935,0.05074787065574641,1.0,0.87,0.8933333333333334,0.935,0.06500000000000006,True,False
002460,000725,0.88,0.05724429751401834,1.0,0.84,0.05789747927572454,1.0,0.84,0.05946436922760102,1.0,0.84,0.8533333333333334,0.88,0.040000000000000036,True,False
000858,002460,0.84,0.03303185359414255,1.0,0.855,0.03346224667477736,1.0,0.855,0.0361031681334765,1.0,0.84,0.85,0.855,0.015000000000000013,True,False
000001,601288,0.695,0.02538329762077876,1.0,0.7,0.025214163605528337,1.0,0.745,0.02435766124136939,1.0,0.695,0.7133333333333334,0.745,0.050000000000000044,False,False
600519,600030,0.68,0.026734514908912065,1.0,0.735,0.02468820737644944,1.0,0.79,0.025551969909550696,1.0,0.68,0.735,0.79,0.10999999999999999,False,False
000001,000568,0.69,0.021678504505179108,1.0,0.64,0.023806605948060878,1.0,0.7,0.023308631326459342,1.0,0.64,0.6766666666666667,0.7,0.05999999999999994,False,False
600036,600887,0.745,0.036201284417203106,1.0,0.685,0.0338956060960403,1.0,0.6,0.030797815252120452,1.0,0.6,0.6766666666666667,0.745,0.14500000000000002,False,False
002475,600030,0.61,0.030844817961984315,1.0,0.655,0.028866014007269923,1.0,0.59,0.03166252177988522,1.0,0.59,0.6183333333333333,0.655,0.06500000000000006,False,False
000568,002415,0.695,0.025476108451385447,1.0,0.585,0.021656408097392985,1.0,0.58,0.023365055072758913,1.0,0.58,0.62,0.695,0.11499999999999999,False,False
000001,600030,0.59,0.038179916586494944,1.0,0.535,0.039388227699246985,1.0,0.65,0.04931718379856555,1.0,0.535,0.5916666666666667,0.65,0.11499999999999999,False,False
600036,000858,0.635,0.024573112837945808,1.0,0.52,0.024659367439214673,1.0,0.58,0.025410486041261907,1.0,0.52,0.5783333333333333,0.635,0.11499999999999999,False,False
600887,002415,0.47,0.02135778454806457,1.0,0.475,0.024483503988919145,1.0,0.49,0.026992411275322502,1.0,0.47,0.47833333333333333,0.49,0.020000000000000018,False,False
000568,002460,0.44,0.022169931506929252,1.0,0.5,0.026963260365875055,1.0,0.62,0.02774949560136808,1.0,0.44,0.52,0.62,0.18,False,False
002460,601318,0.425,0.020515079148694944,1.0,0.45,0.023739926572395428,1.0,0.44,0.023568431245781275,1.0,0.425,0.4383333333333333,0.45,0.025000000000000022,False,False
600887,002460,0.39,0.019861295045608917,1.0,0.385,0.02441560549087011,1.0,0.425,0.023485618577652162,1.0,0.385,0.39999999999999997,0.425,0.03999999999999998,False,False
000725,601318,0.345,0.032673401005700695,1.0,0.43,0.03342066752355333,1.0,0.605,0.03736903042906078,1.0,0.345,0.45999999999999996,0.605,0.26,False,False
600036,000568,0.335,0.01779194366709421,1.0,0.33,0.0181139882968599,1.0,0.37,0.015874842695948133,1.0,0.33,0.34500000000000003,0.37,0.03999999999999998,False,False
601288,603501,0.4,-0.020630343854411436,1.0,0.32,-0.02432562146616818,1.0,0.28,-0.020237595766571054,1.0,0.28,0.3333333333333333,0.4,0.12,False,False
000001,000725,0.155,0.02219186876262807,1.0,0.21,0.030284989763568918,1.0,0.3,0.03136561004627381,1.0,0.155,0.22166666666666668,0.3,0.145,False,False
600036,600030,0.12,0.01385758491784015,1.0,0.095,0.016028967436155884,1.0,0.17,0.023856607481438308,1.0,0.095,0.12833333333333333,0.17,0.07500000000000001,False,False
002475,601318,0.085,0.019374474141034683,1.0,0.085,0.016014882492632984,1.0,0.14,0.012400343894828017,1.0,0.085,0.10333333333333335,0.14,0.05500000000000001,False,False
000001,002415,0.2,0.018627574105662,1.0,0.175,0.01856364483629575,1.0,0.075,0.008795926051896389,1.0,0.075,0.15,0.2,0.125,False,False
601398,002460,0.075,-0.010146262318133474,1.0,0.105,-0.011762922502065516,1.0,0.12,-0.011881591508783,1.0,0.075,0.09999999999999999,0.12,0.045,False,False
000858,000725,0.07,0.010934452019522372,1.0,0.115,0.015093892244955586,1.0,0.165,0.016557470157039143,1.0,0.07,0.11666666666666665,0.165,0.095,False,False
601288,002460,0.07,-0.016106310276081916,1.0,0.1,-0.012948587230403008,1.0,0.11,-0.01232600697899055,1.0,0.07,0.09333333333333334,0.11,0.039999999999999994,False,False
600519,002415,0.065,0.011366517928725154,1.0,0.11,0.014044614059371519,1.0,0.11,0.012975980181470682,1.0,0.065,0.09499999999999999,0.11,0.045,False,False
000001,600519,0.065,0.012027470284743666,1.0,0.095,0.010575438641145284,1.0,0.065,0.007104440884186384,1.0,0.065,0.075,0.095,0.03,False,False
000568,000725,0.05,0.011688575834896436,1.0,0.055,0.012000552274531407,1.0,0.06,0.007488033630438876,1.0,0.05,0.055,0.06,0.009999999999999995,False,False
600887,002475,0.06,0.013424847065077199,1.0,0.05,0.011567493891411987,1.0,0.05,0.008628900415307377,1.0,0.05,0.05333333333333334,0.06,0.009999999999999995,False,False
000858,002475,0.045,0.011052700328275815,1.0,0.095,0.009575498297148788,1.0,0.085,0.012807267525523362,1.0,0.045,0.07500000000000001,0.095,0.05,False,False
601398,603501,0.07,-0.013458484614916253,1.0,0.06,-0.010258690357383693,1.0,0.045,-0.012228649239161157,1.0,0.045,0.05833333333333333,0.07,0.02500000000000001,False,False
000568,603501,0.045,0.009893856273503955,1.0,0.035,0.00504073383541811,1.0,0.05,0.010661541021995607,1.0,0.035,0.043333333333333335,0.05,0.015,False,False
000001,002460,0.105,0.012909618067860059,1.0,0.04,0.011513737121385316,1.0,0.025,0.012797624245104753,1.0,0.025,0.056666666666666664,0.105,0.07999999999999999,False,False
600519,002460,0.025,0.009173945242696982,1.0,0.04,0.01054390218259383,1.0,0.07,0.015681818244456167,1.0,0.025,0.045000000000000005,0.07,0.045000000000000005,False,False
601288,601318,0.025,0.010040588419783872,1.0,0.03,0.007855276463531534,1.0,0.035,0.01307311191453016,1.0,0.025,0.03,0.035,0.010000000000000002,False,False
600887,000725,0.01,0.0036005802674822307,1.0,0.08,0.017160127621800685,1.0,0.185,0.023937309844704983,1.0,0.01,0.09166666666666667,0.185,0.175,False,False
601288,002475,0.015,-0.0168351573639128,1.0,0.01,-0.006894312062607423,1.0,0.02,-0.003742524882048766,1.0,0.01,0.015,0.02,0.01,False,False
000858,603501,0.01,0.010441057233401914,1.0,0.01,0.0012885890263157629,1.0,0.02,0.006757941589608732,1.0,0.01,0.013333333333333334,0.02,0.01,False,False
600887,603501,0.005,0.0036343445799836144,1.0,0.02,0.012378606840805117,1.0,0.01,0.006446536772261334,1.0,0.005,0.011666666666666667,0.02,0.015,False,False
601398,601318,0.02,0.006279322705984324,1.0,0.005,0.006575109495798276,1.0,0.005,0.006804853389527105,1.0,0.005,0.01,0.02,0.015,False,False
600036,002475,0.01,0.004769292814399575,1.0,0.01,0.007210019688485023,1.0,0.005,0.0051075372636627285,1.0,0.005,0.008333333333333333,0.01,0.005,False,False
600519,002475,0.0,,,0.005,0.0033902191037537928,1.0,0.02,0.007996394310633165,1.0,0.0,0.008333333333333333,0.02,0.02,False,False
601398,002475,0.005,-0.0034415641062054223,1.0,0.0,,,0.015,-0.01585867036590237,1.0,0.0,0.006666666666666667,0.015,0.015,False,False
601398,000725,0.0,,,0.0,,,0.015,-0.006495141620321748,1.0,0.0,0.005,0.015,0.015,False,False
000001,002475,0.005,0.004655326111667363,1.0,0.0,,,0.005,0.021102768469875573,1.0,0.0,0.0033333333333333335,0.005,0.005,False,False
000568,002475,0.0,,,0.0,,,0.005,0.011603028358217445,1.0,0.0,0.0016666666666666668,0.005,0.005,False,False
600036,002415,0.005,0.0017976640942645283,1.0,0.0,,,0.0,,,0.0,0.0016666666666666668,0.005,0.005,False,False
601288,000725,0.0,,,0.0,,,0.005,-0.007243807258426736,1.0,0.0,0.0016666666666666668,0.005,0.005,False,False
601288,002415,0.0,,,0.0,,,0.005,-0.002257670117790605,1.0,0.0,0.0016666666666666668,0.005,0.005,False,False
601398,600887,0.0,,,0.0,,,0.005,0.02155969907533824,1.0,0.0,0.0016666666666666668,0.005,0.005,False,False
000001,603501,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
600036,000725,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
600036,002460,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
600036,603501,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
600519,000725,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
600519,603501,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601288,000568,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601288,000858,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601288,600030,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601288,600519,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601288,600887,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601398,000568,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601398,000858,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601398,002415,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601398,600030,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
601398,600519,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
603501,601318,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,False,False
