security_id,EXPLICIT_SUSPENSION,OPEN_BUT_RETURN_MISSING,RETURN_OBSERVED,NO_RAW_RECORD,OTHER,expected_trade_days,diagnostic_raw_coverage,suspension_adjusted_coverage,missing_day_count,suspension_share_of_missing,analysis_date,next_analysis_date,window,future_return_coverage,future_valid_return_days
002460.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
002472.XSHE,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
002477.XSHE,9,1,10,0,0,20,0.5,0.95,10,0.9,2015-04-30,2015-05-29,60,0.5,10
002485.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002522.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
002545.XSHE,9,0,11,0,0,20,0.55,1.0,9,1.0,2015-04-30,2015-05-29,60,0.55,11
002547.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002552.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002571.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002586.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002587.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002589.XSHE,7,0,13,0,0,20,0.65,1.0,7,1.0,2015-04-30,2015-05-29,60,0.65,13
002590.XSHE,16,1,3,0,0,20,0.15,0.95,17,0.9411764705882353,2015-04-30,2015-05-29,60,0.15,3
002594.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002620.XSHE,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
002643.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002647.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
002655.XSHE,15,0,5,0,0,20,0.25,1.0,15,1.0,2015-04-30,2015-05-29,60,0.25,5
002661.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
002662.XSHE,11,0,9,0,0,20,0.45,1.0,11,1.0,2015-04-30,2015-05-29,60,0.45,9
002669.XSHE,15,0,5,0,0,20,0.25,1.0,15,1.0,2015-04-30,2015-05-29,60,0.25,5
002674.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
002683.XSHE,15,0,5,0,0,20,0.25,1.0,15,1.0,2015-04-30,2015-05-29,60,0.25,5
002696.XSHE,10,1,9,0,0,20,0.45,0.95,11,0.9090909090909091,2015-04-30,2015-05-29,60,0.45,9
002698.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
002701.XSHE,12,0,8,0,0,20,0.4,1.0,12,1.0,2015-04-30,2015-05-29,60,0.4,8
002708.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
002730.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
002739.XSHE,12,0,8,0,0,20,0.4,1.0,12,1.0,2015-04-30,2015-05-29,60,0.4,8
300005.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
300017.XSHE,13,0,7,0,0,20,0.35,1.0,13,1.0,2015-04-30,2015-05-29,60,0.35,7
300032.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
300035.XSHE,18,0,2,0,0,20,0.1,1.0,18,1.0,2015-04-30,2015-05-29,60,0.1,2
300039.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
300051.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
300055.XSHE,10,1,9,0,0,20,0.45,0.95,11,0.9090909090909091,2015-04-30,2015-05-29,60,0.45,9
300056.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
300068.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
300079.XSHE,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
