factor_order,factor_name,target_name,window,m1_network_only_beta,m1_beta_bps_per_1sd,m2_industry_size_beta,m2_beta_bps_per_1sd,m3_full_control_beta,m3_beta_bps_per_1sd,m3_hac_t_stat,m3_mean_partial_r2,m3_vs_m2_same_sign,m3_vs_m2_abs_retention,m3_minus_m2_beta,m3_minus_m2_bps,m2_vs_m1_same_sign,factor_sign_flipped,factor_selected_from_fmb,window_selected_from_fmb
8,neighbor_retention_1m,future_excess_return,252,0.00044268859590705975,4.426885959070598,0.001124849864822524,11.24849864822524,0.0003951544205033113,3.951544205033113,1.0307671941939829,0.0013521721336374342,True,0.3512952553589521,-0.0007296954443192126,-7.296954443192126,True,False,False,False
9,outside_community_degree_percentile,future_excess_return,60,-0.0004271819541048583,-4.2718195410485835,0.00024057670887275934,2.4057670887275933,-0.00031079300208744547,-3.1079300208744547,-0.6195266614596574,0.0017360896485454926,False,1.2918665466149652,-0.0005513697109602048,-5.513697109602048,False,False,False,False
9,outside_community_degree_percentile,future_excess_return,120,-0.0010594454648312312,-10.594454648312313,0.0001943032117053168,1.943032117053168,-0.0002594482350256025,-2.5944823502560252,-0.46116016150361894,0.0023650132524518992,False,,-0.0004537514467309193,-4.537514467309193,False,False,False,False
9,outside_community_degree_percentile,future_excess_return,252,-0.00018861863468497018,-1.8861863468497018,0.0011941543507344955,11.941543507344955,0.0008843410298420147,8.843410298420146,1.4599093939518635,0.002269101573257353,True,0.7405583954017987,-0.0003098133208924808,-3.098133208924808,False,False,False,False
1,residual_degree_percentile,future_total_return,60,-0.0007434535927349666,-7.434535927349666,0.0005131074183779805,5.1310741837798055,0.0003925048558988942,3.925048558988942,0.6700126536421013,0.0025564664541119194,True,0.7649565019731512,-0.00012060256247908635,-1.2060256247908634,False,False,False,False
1,residual_degree_percentile,future_total_return,120,-0.0009599790739866678,-9.599790739866679,0.0007966846931898502,7.966846931898503,0.0008294743587331086,8.294743587331086,1.34837542227191,0.0029142329913884853,True,1.0411576447037934,3.278966554325839e-05,0.3278966554325839,False,False,False,False
1,residual_degree_percentile,future_total_return,252,-0.000468497951166402,-4.68497951166402,0.0011798232921065347,11.798232921065347,0.001360753509911171,13.60753509911171,1.9949228047510315,0.002850473025531667,True,1.15335365814112,0.00018093021780463624,1.8093021780463625,False,False,False,False
2,delta_degree_percentile,future_total_return,60,-0.004025833767746695,-40.25833767746695,-0.0028441592117816215,-28.441592117816214,-0.0009315923699932694,-9.315923699932695,-2.2917494226522725,0.0016857304927757769,True,0.32754578792011674,0.0019125668417883522,19.12566841788352,True,False,False,False
2,delta_degree_percentile,future_total_return,120,-0.004041040191698037,-40.41040191698037,-0.002758125467773268,-27.581254677732684,-0.0009319142167706293,-9.319142167706293,-1.9235491278718289,0.001706650410198193,True,0.3378795590191176,0.001826211251002639,18.262112510026387,True,False,False,False
2,delta_degree_percentile,future_total_return,252,-0.0033294261330763927,-33.29426133076392,-0.002620379167414352,-26.203791674143517,-0.001066951477559369,-10.66951477559369,-2.100392525098791,0.0017495463826274927,True,0.4071744619356667,0.0015534276898549828,15.534276898549829,True,False,False,False
3,cross_industry_degree_percentile,future_total_return,60,-0.0004854674757289987,-4.854674757289986,0.00041545769794571174,4.154576979457118,0.0002549002661735687,2.5490026617356873,0.49716505074370154,0.0019953860047344928,True,0.6135408428678983,-0.00016055743177214302,-1.6055743177214303,False,False,False,False
3,cross_industry_degree_percentile,future_total_return,120,-0.0008175122323082894,-8.175122323082894,0.0006004289079050843,6.004289079050843,0.0006154290526314884,6.154290526314884,1.1835395666253314,0.0022507202838927057,True,1.0249823826416686,1.5000144726404077e-05,0.15000144726404077,False,False,False,False
3,cross_industry_degree_percentile,future_total_return,252,-0.0005872458655069832,-5.872458655069831,0.0007624187671247592,7.624187671247592,0.0009182900377031054,9.182900377031054,1.5751821654779943,0.0021259203528293117,True,1.2044431187943725,0.0001558712705783462,1.5587127057834622,False,False,False,False
4,cross_industry_degree_ratio,future_total_return,60,0.00037092208518897516,3.709220851889752,-0.0004097957946453016,-4.0979579464530165,-0.0006702216704065435,-6.702216704065434,-1.8161248322771062,0.0013699702803187392,True,1.6355015819199736,-0.00026042587576124185,-2.6042587576124183,False,False,False,False
4,cross_industry_degree_ratio,future_total_return,120,0.00015500112884184416,1.5500112884184416,-0.00032198145742616703,-3.21981457426167,-0.000552395025666542,-5.523950256665421,-1.4116278021329116,0.0014308393646705335,True,1.715611296632542,-0.000230413568240375,-2.30413568240375,False,False,False,False
4,cross_industry_degree_ratio,future_total_return,252,-0.0006045239417392089,-6.045239417392089,-0.0007019865629041156,-7.019865629041156,-0.0008218608532018764,-8.218608532018765,-2.146936960029338,0.0012600097401502378,True,1.1707643659186884,-0.00011987429029776083,-1.1987429029776082,True,False,False,False
5,delta_residual_degree_percentile_1m,future_total_return,60,0.0007905067605030916,7.905067605030916,0.0006883950537936906,6.883950537936906,0.0002616785260142702,2.616785260142702,0.8659646078309435,0.0009389502988460079,True,0.38012842273078606,-0.00042671652777942037,-4.267165277794204,True,False,False,False
5,delta_residual_degree_percentile_1m,future_total_return,120,0.0005009559445488234,5.009559445488233,0.00047560641631537193,4.756064163153719,0.00025688728795485557,2.5688728795485556,0.9525476794081967,0.000889692156619406,True,0.540125782879504,-0.00021871912836051637,-2.1871912836051637,True,False,False,False
5,delta_residual_degree_percentile_1m,future_total_return,252,0.00010834634020466451,1.0834634020466452,0.00048506416407883966,4.850641640788397,0.00027693251838836324,2.7693251838836326,0.881909004869665,0.0010095285203723875,True,0.5709193523175877,-0.00020813164569047642,-2.081316456904764,True,False,False,False
6,delta_cross_industry_degree_percentile_1m,future_total_return,60,0.0008731178271853481,8.73117827185348,0.0007045033858781198,7.045033858781198,0.00027521006897501566,2.7521006897501565,0.9919054019573216,0.0008676030186254483,True,0.3906440685618329,-0.00042929331690310415,-4.292933169031041,True,False,False,False
6,delta_cross_industry_degree_percentile_1m,future_total_return,120,0.0004621102079124231,4.621102079124231,0.0003932440128660031,3.932440128660031,0.00019698527645064758,1.9698527645064758,0.832425716158204,0.0007555375977412375,True,0.5009237776183761,-0.0001962587364153555,-1.962587364153555,True,False,False,False
6,delta_cross_industry_degree_percentile_1m,future_total_return,252,4.641271894456999e-05,0.4641271894456999,0.00027355142637461744,2.7355142637461745,0.00011009717883028763,1.1009717883028762,0.40395706797913067,0.0009143288072242561,True,0.4024734226006706,-0.0001634542475443298,-1.6345424754432982,True,False,False,False
7,neighbor_jaccard_1m,future_total_return,60,-0.0008315712739627788,-8.315712739627788,0.0004644515038136786,4.644515038136786,0.00034149090878997536,3.4149090878997534,0.695298145089368,0.0016285944402207298,True,0.7352563313627882,-0.00012296059502370324,-1.2296059502370325,False,False,False,False
7,neighbor_jaccard_1m,future_total_return,120,-0.00023253893391981728,-2.325389339198173,0.0007689527943173223,7.689527943173222,9.61060615808613e-05,0.961060615808613,0.2325830825524436,0.0017302635128075459,True,0.12498304485151712,-0.000672846732736461,-6.728467327364609,False,False,False,False
7,neighbor_jaccard_1m,future_total_return,252,0.000734975581818646,7.34975581818646,0.0011671702181772713,11.671702181772714,0.0005303927411748258,5.303927411748258,1.2618969470246597,0.0015150465159972349,True,0.4544262121450644,-0.0006367774770024455,-6.367774770024455,True,False,False,False
8,neighbor_retention_1m,future_total_return,60,-0.0003029657948192891,-3.0296579481928907,0.0008200649554938726,8.200649554938726,0.0004167428278720983,4.167428278720983,0.9396021744863275,0.0015027425832539628,True,0.5081827056261913,-0.0004033221276217743,-4.033221276217743,False,False,False,False
8,neighbor_retention_1m,future_total_return,120,6.399747267707308e-05,0.6399747267707308,0.0009385831846154962,9.385831846154963,0.00013321631206171755,1.3321631206171756,0.3586124123698305,0.0015054053567399744,True,0.1419334101071622,-0.0008053668725537786,-8.053668725537786,True,False,False,False
8,neighbor_retention_1m,future_total_return,252,0.0004428243559089278,4.428243559089278,0.0011247278807071874,11.247278807071874,0.0003953309803578886,3.953309803578886,1.031419796641135,0.0013519535428172331,True,0.3514903356973058,-0.0007293969003492988,-7.293969003492988,True,False,False,False
9,outside_community_degree_percentile,future_total_return,60,-0.00042687460357241724,-4.268746035724172,0.00024069369882688562,2.406936988268856,-0.0003104897619190153,-3.1048976191901527,-0.6190299023998664,0.0017361182197454257,False,1.2899787714938444,-0.0005511834607459009,-5.511834607459009,False,False,False,False
9,outside_community_degree_percentile,future_total_return,120,-0.001058953409636096,-10.589534096360959,0.0001944262406643906,1.944262406643906,-0.0002592025683315457,-2.592025683315457,-0.4608333202178646,0.002364919852104009,False,,-0.0004536288089959363,-4.536288089959363,False,False,False,False
9,outside_community_degree_percentile,future_total_return,252,-0.00018797567952598038,-1.8797567952598038,0.0011943177279220936,11.943177279220935,0.0008845038642666746,8.845038642666747,1.4604620097232857,0.0022691293369915006,True,0.7405934313690198,-0.0003098138636554189,-3.0981386365541894,False,False,False,False
