analysis_date,window,factor_order,factor_name,factor_orientation,target_name,model_spec,nobs,network_beta,network_beta_bps,partial_r2,status,industry_count,singleton_industry_count,control_count,control_rank,factor_residual_sd
2016-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2259,0.0038013567910257346,38.01356791025734,0.0016683270940685002,PASS,28.0,0.0,1.0,1.0,0.9286986754457911
2016-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2259,0.0013570288697726566,13.570288697726566,0.00025222243689326795,PASS,28.0,0.0,5.0,5.0,0.9126516347166931
2016-07-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2293,-0.010333658122452702,-103.33658122452701,0.019468266328435235,PASS,28.0,0.0,0.0,0.0,0.9999999999999999
2016-07-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2293,-0.006981582729047708,-69.81582729047707,0.007979925270179322,PASS,28.0,0.0,1.0,1.0,0.9041454854585523
2016-07-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2293,-0.006907129847585122,-69.07129847585122,0.007602648475633189,PASS,28.0,0.0,5.0,5.0,0.887388274742767
2016-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2368,-0.012395058879186866,-123.95058879186867,0.026944196223812944,PASS,28.0,0.0,0.0,0.0,1.0
2016-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2368,-0.008259284029993352,-82.59284029993351,0.011285452407367336,PASS,28.0,0.0,1.0,1.0,0.9297062341192277
2016-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2368,-0.007868110062433313,-78.68110062433313,0.010208798106446038,PASS,28.0,0.0,5.0,5.0,0.8911533409922562
2016-09-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2387,-8.16674821765872e-05,-0.8166748217658719,1.4278060666006454e-06,PASS,28.0,0.0,0.0,0.0,1.0
2016-09-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2387,0.0012840371595485012,12.840371595485012,0.00031277609364555037,PASS,28.0,0.0,1.0,1.0,0.917716829260128
2016-09-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2387,-0.00039608017681589124,-3.9608017681589125,2.80359537727648e-05,PASS,28.0,0.0,5.0,5.0,0.8687727026718239
2016-10-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2411,0.005058878456077317,50.58878456077316,0.0038912196524300002,PASS,28.0,0.0,0.0,0.0,1.0
2016-10-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2411,0.005028458730773556,50.284587307735556,0.0034305265978555877,PASS,28.0,0.0,1.0,1.0,0.9255734416108734
2016-10-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2411,0.004930446028075105,49.30446028075105,0.0031924083818617444,PASS,28.0,0.0,5.0,5.0,0.9016895129163586
2016-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2406,-0.01637329113333229,-163.7329113333229,0.03492342148930172,PASS,28.0,0.0,0.0,0.0,0.9999999999999999
2016-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2406,-0.01394533840960877,-139.45338409608772,0.02317405314288512,PASS,28.0,0.0,1.0,1.0,0.9020014008064515
2016-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2406,-0.00956445141034377,-95.64451410343769,0.01011673590564055,PASS,28.0,0.0,5.0,5.0,0.8366669591028795
2016-12-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2434,0.005837592582246711,58.37592582246711,0.005645173757254818,PASS,28.0,0.0,0.0,0.0,1.0
2016-12-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2434,-0.0008481328205866353,-8.481328205866353,0.00011009893945757021,PASS,28.0,0.0,1.0,1.0,0.9129835057164464
2016-12-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2434,0.003081422429554401,30.81422429554401,0.0014713361106910572,PASS,28.0,0.0,5.0,5.0,0.8822083035774114
2017-01-26,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2461,0.0026713268109759057,26.713268109759056,0.0018255405854846751,PASS,28.0,0.0,0.0,0.0,1.0
2017-01-26,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2461,0.00395917085438448,39.5917085438448,0.0034862700563155213,PASS,28.0,0.0,1.0,1.0,0.9156013675619759
2017-01-26,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2461,0.0027954156940896546,27.954156940896546,0.0016606830422600805,PASS,28.0,0.0,5.0,5.0,0.886373941469572
2017-02-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2495,0.0008227392056178947,8.227392056178948,0.00010467700370064836,PASS,28.0,0.0,0.0,0.0,0.9999999999999998
2017-02-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2495,-0.0014266492532596692,-14.266492532596692,0.0002908702827753018,PASS,28.0,0.0,1.0,1.0,0.9289248770871457
2017-02-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2495,-0.0014483438205378962,-14.483438205378963,0.0002972522216722062,PASS,28.0,0.0,5.0,5.0,0.9157824325066168
2017-03-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2551,0.0019348988370392873,19.348988370392874,0.0002878160825825482,PASS,28.0,0.0,0.0,0.0,0.9999999999999998
2017-03-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2551,-0.0045131096871420685,-45.13109687142069,0.0015079442759613482,PASS,28.0,0.0,1.0,1.0,0.9387986886900975
