analysis_date,window,factor_name,n,nonmissing_count,missing_share,mean,std,p01,p05,median,p95,p99
2016-07-29,60,neighbor_jaccard_1m,2332,2209,0.05274442538593482,0.18156275052330853,0.15351351255496015,0.0,0.0,0.14814814814814814,0.4666666666666667,0.5906951871657756
2016-08-31,60,neighbor_jaccard_1m,2409,2270,0.057700290577002905,0.21593951459255015,0.16783107797178312,0.0,0.0,0.19462481962481964,0.525346687211094,0.6295891472868214
2016-09-30,60,neighbor_jaccard_1m,2429,2314,0.047344586249485385,0.20221129413094452,0.18249367001013617,0.0,0.0,0.15384615384615385,0.5549486461251166,0.6994347826086952
2016-10-31,60,neighbor_jaccard_1m,2451,2359,0.037535699714402286,0.18919358187148,0.1595511224163955,0.0,0.0,0.14285714285714285,0.50064935064935,0.6370219435736678
2016-11-30,60,neighbor_jaccard_1m,2460,2358,0.041463414634146344,0.14698460077599435,0.13450938431159432,0.0,0.0,0.11010101010101009,0.4074074074074074,0.5419677572309146
2016-12-30,60,neighbor_jaccard_1m,2499,2367,0.05282112845138055,0.20624452222048367,0.17501929126116106,0.0,0.0,0.16666666666666666,0.5427906976744186,0.6582051282051301
2017-01-26,60,neighbor_jaccard_1m,2537,2436,0.03981080015766653,0.2410166935059123,0.18664944719030901,0.0,0.0,0.2,0.5918367346938775,0.6891080312722108
2017-02-28,60,neighbor_jaccard_1m,2579,2468,0.04303993796044979,0.22558453802288733,0.1727768078586245,0.0,0.0,0.1935483870967742,0.5451395139513953,0.6521739130434783
2017-03-31,60,neighbor_jaccard_1m,2663,2512,0.056702966579046186,0.16615291865590937,0.1476307779910487,0.0,0.0,0.125,0.46153846153846156,0.5709594882729205
2017-04-28,60,neighbor_jaccard_1m,2696,2584,0.04154302670623145,0.16139483502361512,0.1540726578718121,0.0,0.0,0.11764705882352941,0.4736137218045112,0.5714285714285714
2017-05-31,60,neighbor_jaccard_1m,2699,2606,0.03445720637273064,0.22862868973207376,0.18355402688926478,0.0,0.0,0.19478319783197834,0.5864285714285714,0.6774193548387096
2017-06-30,60,neighbor_jaccard_1m,2750,2634,0.04218181818181818,0.2722722689825205,0.19857641568610085,0.0,0.0,0.25,0.6373707357660762,0.774591836734694
2017-07-31,60,neighbor_jaccard_1m,2783,2660,0.04419690980955803,0.1416012427310626,0.13772872242246187,0.0,0.0,0.10391260162601626,0.41748986558566215,0.5590598290598279
2017-08-31,60,neighbor_jaccard_1m,2834,2726,0.038108680310515175,0.1707815011193733,0.1608795360394059,0.0,0.0,0.12838827838827838,0.5,0.6006726457399103
2017-09-29,60,neighbor_jaccard_1m,2897,2785,0.03866068346565413,0.2558635946687514,0.21111319436878598,0.0,0.0,0.21621621621621623,0.6798778625954197,0.7897836616080075
2017-10-31,60,neighbor_jaccard_1m,2941,2835,0.03604216252975179,0.23304250376436084,0.18785578258411972,0.0,0.0,0.2,0.5933792372881355,0.7212466345761599
2017-11-30,60,neighbor_jaccard_1m,2959,2864,0.032105441027374115,0.1922969692264467,0.16336711981829136,0.0,0.0,0.15217391304347827,0.5106050531914893,0.619655172413793
2017-12-29,60,neighbor_jaccard_1m,2995,2875,0.04006677796327212,0.22728783506490996,0.16921207916696304,0.0,0.0,0.1956521739130435,0.5555555555555556,0.650206349206349
2018-01-31,60,neighbor_jaccard_1m,3026,2916,0.036351619299405155,0.1837942484020713,0.1588913597424578,0.0,0.0,0.14285714285714285,0.5091766723842195,0.6170903010033443
2018-02-28,60,neighbor_jaccard_1m,2961,2893,0.022965214454576156,0.20211963009447326,0.16683559269435813,0.0,0.0,0.16666666666666666,0.5342476489028213,0.6534958111195734
2018-03-30,60,neighbor_jaccard_1m,3008,2905,0.034242021276595744,0.2277048160285655,0.18811785152737995,0.0,0.0,0.1875,0.5968665986836004,0.7027027027027027
2018-04-27,60,neighbor_jaccard_1m,3025,2955,0.023140495867768594,0.24978648676812468,0.18568996998847248,0.0,0.0,0.21951219512195122,0.5951567944250871,0.7078801843317974
2018-05-31,60,neighbor_jaccard_1m,3097,2968,0.041653212786567646,0.1923876064186847,0.1605789076438201,0.0,0.0,0.15789473684210525,0.5,0.6028695652173907
