analysis_date,window,factor_order,factor_name,factor_orientation,target_name,target_role,portfolio,portfolio_weighting,sort_portfolio_n,return_observation_n,return_coverage_within_portfolio,portfolio_mean_return,portfolio_median_return
2015-05-29,60,2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,383,383,1.0,-0.03218260365719228,-0.07588825563250981
2015-05-29,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,385,385,1.0,-0.0902512541724077,-0.12570093457943923
2015-05-29,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,397,397,1.0,-0.11216861052716856,-0.14054656999442314
2015-05-29,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,374,374,1.0,-0.08789200668487336,-0.09574040226686947
2015-05-29,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,375,375,1.0,-0.1020145999638806,-0.118834080717489
2015-05-29,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,383,383,1.0,-0.11242461797182006,-0.15612009237875274
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,502,502,1.0,-0.04167620213804418,-0.07039873552566317
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,350,350,1.0,-0.029288201400203075,-0.0501142436782219
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,338,338,1.0,-0.02314143361148441,-0.04146205440087963
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,342,342,1.0,-0.04190734309014258,-0.06207217975488447
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,382,382,1.0,0.03522867353353396,0.002940301874434295
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,502,502,1.0,-0.12191679805916789,-0.1506348682130232
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,350,350,1.0,-0.10953369234234799,-0.13035867225494335
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,338,338,1.0,-0.10338856861706432,-0.12170572585167166
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,342,342,1.0,-0.12214785102059196,-0.14230874641428082
2015-05-29,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,382,382,1.0,-0.04503785135689418,-0.077320674752017
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,366,366,1.0,-0.029646389891247345,-0.05349260857927097
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,366,366,1.0,-0.015945495980393628,-0.044917432872472574
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,360,360,1.0,0.0171527709990341,-0.01401435322807381
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,365,365,1.0,-0.021799772715442055,-0.05135020942056931
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,362,362,1.0,-0.04178967163462925,-0.05514517786077259
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,366,366,1.0,-0.1098922540313311,-0.13373598223433014
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,366,366,1.0,-0.09619568869081589,-0.1251604976848563
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,360,360,1.0,-0.06310836607453507,-0.09426860650642144
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,365,365,1.0,-0.10204704864352122,-0.1315898713158986
2015-05-29,60,5,delta_residual_degree_percentile_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,362,362,1.0,-0.12202940201650297,-0.13538478099972134
