factor_order,factor_name,factor_orientation,target_name,target_role,window,month_count,first_date,last_date,mean_q1_return,mean_q2_return,mean_q3_return,mean_q4_return,mean_q5_return,mean_q5_minus_q1,mean_q5_minus_q1_bps,median_q5_minus_q1,std_q5_minus_q1,annualized_arithmetic_spread,annualized_spread_sharpe,positive_spread_share,negative_spread_share,mean_portfolio_return_spearman,median_portfolio_return_spearman,strictly_increasing_share,strictly_decreasing_share,mean_linear_slope_per_quintile,mean_q1_n,mean_q5_n,naive_spread_se,naive_spread_t_stat,hac_lag,hac_spread_se,hac_spread_t_stat,outcome_based_sign_flip,outcome_based_window_selection
7,neighbor_jaccard_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,120,2016-04-29,2026-07-31,-0.001736297791043261,-0.00020907750755392484,-0.0004201583591937695,0.00014636806354349844,0.0006958034463529353,0.0024321012373961968,24.321012373961967,0.0032790388755390186,0.024003669223004176,0.02918521484875436,0.3509899151821532,0.575,0.425,0.11,0.25,0.08333333333333333,0.05,0.0005219648045889816,752.3,719.4583333333334,0.002191225182721982,1.1099275677249172,4,0.0016743305743295495,1.4525812731873935,False,False
8,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,121,2015-05-29,2026-06-30,-0.002313850308504224,-0.0016870690512655812,-0.0003360425517907308,-0.0008476693769229377,-0.001066091285132358,0.0012477590233718663,12.477590233718663,-0.0005088320607599627,0.025471312532550514,0.014973108280462395,0.16969537956245945,0.48760330578512395,0.512396694214876,0.010743801652892557,0.0,0.049586776859504134,0.09917355371900827,0.0003334917721086376,798.0661157024794,779.297520661157,0.002315573866595501,0.5388552018884192,4,0.0018066556700636798,0.6906457295915641,False,False
8,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,127,2015-08-31,2026-07-31,-0.0014101584986098267,-0.00026324658979775075,-0.0005264583528190169,-0.0021142677094968345,-0.0010624933269358144,0.00034766517167401245,3.4766517167401245,-0.0001876828887371635,0.024922674769738404,0.004171982060088149,0.04832336391860449,0.49606299212598426,0.5039370078740157,-0.014960629921259844,-0.09999999999999999,0.11023622047244094,0.10236220472440945,-0.00011556907763510604,769.1259842519685,745.1338582677165,0.002211529768898812,0.15720573901527246,4,0.0016859211026336361,0.20621675067173226,False,False
8,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,105,2017-02-28,2026-07-31,-0.0005401356552340101,0.00021367909753893506,0.0011335304992790608,0.0006867015192638666,0.0005306179149818663,0.0010707535702158765,10.707535702158765,0.0021430263096395255,0.02106869006364692,0.012849042842590518,0.17605267156117085,0.5428571428571428,0.45714285714285713,0.05714285714285713,0.09999999999999999,0.05714285714285714,0.01904761904761905,0.0002614529562156682,755.4571428571429,727.3809523809524,0.0020560936170043063,0.5207708254918598,4,0.001385818988397346,0.7726503816015451,False,False
9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,116,2015-04-30,2026-05-29,-0.0012875740917124155,-0.002438515864983612,-0.002478647634840851,-0.002934666499540296,-0.0033432916513013414,-0.002055717559588926,-20.55717559588926,0.0006049683082964517,0.03831820219474383,-0.02466861071506711,-0.18584417093075076,0.5086206896551724,0.49137931034482757,-0.0025862068965517284,0.049999999999999996,0.09482758620689655,0.16379310344827586,-0.00046075857537345366,971.5258620689655,747.3103448275862,0.003557755757444803,-0.5778130090260473,4,0.003521570841355756,-0.5837501649682854,False,False
9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,91,2016-08-31,2026-05-29,0.0006491667424491662,0.0003922643725893046,-0.0018813232957308893,-0.002447921277251731,-0.003428280893563819,-0.004077447636012987,-40.77447636012987,-0.003680092757086683,0.030292370219929813,-0.04892937163215584,-0.46627889593992067,0.42857142857142855,0.5714285714285714,-0.11208791208791206,-0.19999999999999998,0.12087912087912088,0.12087912087912088,-0.0010995080921867007,1016.4615384615385,731.3516483516484,0.0031755032369919023,-1.2840319570498944,3,0.0034560106395333545,-1.1798133921727572,False,False
9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,20,2017-03-31,2026-01-30,-0.00017418819780169262,0.0007528152846254556,-0.0005020815649810067,-0.0004969097463583738,-0.0008168982074484206,-0.0006427100096467287,-6.427100096467288,0.0032807379724428066,0.02248057129719506,-0.007712520115760745,-0.0990371976338621,0.6,0.4,-0.039999999999999994,0.049999999999999996,0.0,0.1,-0.00025351450502772877,1064.75,709.75,0.005026808559355878,-0.12785647236366685,2,0.00618624555626404,-0.10389338796872304,False,False
1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,133,2015-04-30,2026-06-30,0.006015020316812912,0.006343160305747609,0.005333063726102068,0.005443771872618585,0.003708139391857746,-0.0023068809249551674,-23.068809249551673,-0.0004148696662825812,0.03599519243904857,-0.02768257109946201,-0.22200936837883173,0.48120300751879697,0.518796992481203,-0.05187969924812029,-0.09999999999999999,0.06766917293233082,0.10526315789473684,-0.0005513150283039359,825.6691729323309,761.6015037593985,0.0031211790218838237,-0.7391056100213127,4,0.0026851079389315076,-0.8591389908418918,False,False
1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,128,2015-07-31,2026-07-31,0.00727624477259672,0.006948763391391825,0.0061763240337124265,0.005429989910141349,0.006492513911194384,-0.0007837308614023399,-7.837308614023399,-0.0007104828480858586,0.0315543960806044,-0.009404770336828079,-0.08603946454503487,0.4921875,0.5078125,-0.038281249999999975,-0.09999999999999999,0.0703125,0.09375,-0.00030862352040551507,852.890625,779.34375,0.002789040930605198,-0.28100371450349315,4,0.002181632594222324,-0.3592405354952595,False,False
1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,252,119,2016-09-30,2026-07-31,0.006618911181425136,0.006665054457351995,0.006026973742408111,0.0063008572283355805,0.006061802341196061,-0.0005571088402290747,-5.571088402290748,0.0006608191734031321,0.03075672886816771,-0.0066853060827488965,-0.06274664778289958,0.5210084033613446,0.4789915966386555,0.006722689075630255,0.09999999999999999,0.06722689075630252,0.06722689075630252,-0.0001478414909474564,861.5210084033613,773.2436974789916,0.002819464712695354,-0.19759383322676502,4,0.0024200855976401745,-0.23020212209531413,False,False
2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,136,2015-04-30,2026-07-31,0.012876327315369982,0.007823925698772879,0.0062039434775171,0.0034843204773146136,0.00041700015606351107,-0.01245932715930647,-124.5932715930647,-0.01016337546548769,0.027347757346553446,-0.14951192591167764,-1.5782052908087032,0.3014705882352941,0.6985294117647058,-0.30588235294117644,-0.49999999999999994,0.022058823529411766,0.13970588235294118,-0.002925825954007121,780.4779411764706,773.1838235294117,0.0023450508458772836,-5.313030709423887,4,0.002461545236078216,-5.061587728185294,False,False
