factor_order,factor_name,target_name,target_role,window,year,month_count,mean_q5_minus_q1,median_q5_minus_q1,positive_spread_share,mean_portfolio_return_spearman,mean_q5_minus_q1_bps
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2021,12,-0.02128282262271514,-0.029659493970220233,0.3333333333333333,-0.3166666666666666,-212.8282262271514
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2022,12,-0.015059920043004568,-0.013793646813120952,0.3333333333333333,-0.1333333333333333,-150.59920043004567
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2023,12,-0.01601866856489492,-0.026525501509870812,0.16666666666666666,-0.575,-160.18668564894918
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2024,12,-0.01703932365502128,-0.014280198378491423,0.3333333333333333,-0.2666666666666666,-170.39323655021278
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2025,12,-0.02048404614514638,-0.019448720812160075,0.16666666666666666,-0.5416666666666666,-204.8404614514638
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2026,7,-0.01464459194457585,-0.02091494284912499,0.2857142857142857,-0.2714285714285714,-146.4459194457585
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2016,12,-0.007575642486005597,-0.006759119431445829,0.4166666666666667,-0.19999999999999996,-75.75642486005597
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2017,12,0.015149388732985191,0.02263162714466538,0.75,0.36666666666666664,151.4938873298519
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2018,12,-0.00987642550762882,-0.0015919267785310075,0.3333333333333333,-0.1583333333333333,-98.76425507628821
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2019,12,-0.0009701690117476562,-0.001960778176878568,0.3333333333333333,-0.06666666666666668,-9.701690117476563
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2020,12,-0.0035265306811496137,-0.004929997532531838,0.5,0.04166666666666665,-35.26530681149614
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2021,12,-0.013774359680020073,-0.014812507873798038,0.25,-0.27499999999999997,-137.74359680020072
