security_id,stock_code,stock_name,exchange,list_date,delist_date,list_status,security_type,board,is_standard_a_share_code,_source_file,exclude_reason
A19173,A19173,信大捷安,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19180,A19180,微创网络,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19185,A19185,精英数智,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19188,A19188,传神语联,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19196,A19196,天罡股份,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19199,A19199,晶科电子,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19212,A19212,赛赫智能,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19222,A19222,仁会生物,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19231,A19231,天益医疗,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19234,A19234,奥雷德,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19243,A19243,艾索信息,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19246,A19246,慧翰股份,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19251,A19251,汉弘集团,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19265,A19265,尚沃医疗,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19280,A19280,鸿铭股份,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19282,A19282,中加特,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19291,A19291,健耕医药,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19301,A19301,芯愿景,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19303,A19303,慧捷科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19309,A19309,智神信息,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19313,A19313,光华科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19317,A19317,盛诺基,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19320,A19320,森根科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19321,A19321,兴嘉生物,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19323,A19323,柯菲平,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19329,A19329,锦波生物,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19330,A19330,翼捷股份,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19339,A19339,国网智能,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19350,A19350,中数智汇,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A19351,A19351,秋乐种业,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20004,A20004,万佳安,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20007,A20007,泽生科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20018,A20018,晶云药物,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20020,A20020,微众信科,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20025,A20025,溢信科技,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20030,A20030,亿腾景昂,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20039,A20039,汇川物联,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20041,A20041,华卓精科,SSE,,,UN,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20043,A20043,百合医疗,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20045,A20045,德冠新材,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20046,A20046,创尔生物,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20047,A20047,康代智能,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20051,A20051,锐芯微,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20052,A20052,蓝箭电子,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20057,A20057,泰丰智能,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20058,A20058,博科资讯,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20062,A20062,赛克赛斯,SSE,,,UN,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20063,A20063,固安信通,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20068,A20068,东软医疗,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20069,A20069,紫光照明,SSE,,,O,,SSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20085,A20085,沃福百瑞,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20089,A20089,金源照明,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20105,A20105,金张科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
