window,density_fraction,network_id,date_t,date_t1,calendar_gap_days,edge_budget_t,edge_budget_t1,node_count_t,node_count_t1,common_node_count,node_jaccard,full_edge_count_t,full_edge_count_t1,full_edge_jaccard,common_node_edge_count_t,common_node_edge_count_t1,common_edge_intersection_count,common_edge_jaccard,forward_edge_retention,backward_edge_retention,symmetric_edge_retention,edge_turnover,lost_edge_count,gained_edge_count,gross_edge_changes,delta_edge_count,node_common_node_count,node_degree_rank_spearman,node_strength_rank_spearman,node_top1pct_degree_hub_retention,node_top1pct_degree_hub_jaccard,node_top1pct_strength_hub_retention,node_top1pct_strength_hub_jaccard,node_top5pct_degree_hub_retention,node_top5pct_degree_hub_jaccard,node_top5pct_strength_hub_retention,node_top5pct_strength_hub_jaccard,community_common_active_node_count,community_active_node_jaccard,community_community_temporal_nmi,community_community_temporal_ari,initial_same_edge_count,initial_cross_edge_count,persistent_same_edge_count,persistent_cross_edge_count,same_industry_edge_retention,cross_industry_edge_retention,same_minus_cross_retention
60,0.01,M1_RESIDUAL_POSITIVE,2023-05-31,2023-06-30,30,119425,119955,4888,4899,4867,0.9892276422764228,119425,119955,0.38307583863922623,118762,119282,66302,0.3860558279279384,0.5582762162981425,0.5558424573699301,0.5570566785972342,0.6139441720720615,52460,52980,105440,520,4867,0.8253341733623493,0.8281326391910558,0.5306122448979592,0.3611111111111111,0.5714285714285714,0.4,0.6598360655737705,0.4923547400611621,0.6475409836065574,0.47878787878787876,4780,0.9841465925468396,0.5144175277703003,0.4868385144194076,52123,66639,35010,31292,0.6716804481706732,0.4695748735725326,0.2021055745981406
60,0.01,M1_RESIDUAL_POSITIVE,2023-06-30,2023-07-31,31,119955,121000,4899,4920,4895,0.9941104792851341,119955,121000,0.26827766256461,119640,120532,50969,0.26938790611142527,0.4260197258441993,0.4228669564928816,0.42443748646803126,0.7306120938885747,68671,69563,138234,892,4895,0.7012982712429132,0.7052517374427619,0.04081632653061224,0.020833333333333332,0.061224489795918366,0.031578947368421054,0.3306122448979592,0.1980440097799511,0.3551020408163265,0.21588089330024815,4805,0.9836233367451381,0.4282978357125211,0.39566174139959476,52913,66727,27870,23099,0.5267136620490239,0.34617171459828855,0.18054194745073537
60,0.01,M1_RESIDUAL_POSITIVE,2023-07-31,2023-08-31,31,121000,122731,4920,4955,4918,0.9921323381077265,121000,122731,0.29424540274746575,120958,121962,55412,0.29551805789619645,0.45810942641247376,0.4543382364998934,0.45621603820187717,0.7044819421038035,65546,66550,132096,1004,4918,0.747188429562169,0.7501107629412984,0.38,0.2345679012345679,0.44,0.28205128205128205,0.6341463414634146,0.4642857142857143,0.6300813008130082,0.4599406528189911,4792,0.9775601795185639,0.42532686643388756,0.3728127082637229,48308,72650,26807,28605,0.5549184400099363,0.39373709566414317,0.16118134434579312
60,0.01,M1_RESIDUAL_POSITIVE,2023-08-31,2023-09-28,28,122731,124872,4955,4998,4952,0.9902019596080783,122731,124872,0.3623798440655211,122675,123429,65860,0.36539357759481594,0.5368657020582841,0.5335861102334135,0.5352208822286513,0.6346064224051841,56815,57569,114384,754,4952,0.7830560062674817,0.7862600209309266,0.64,0.47058823529411764,0.6,0.42857142857142855,0.657258064516129,0.4894894894894895,0.6693548387096774,0.503030303030303,4792,0.9731925264012997,0.47630044639355895,0.393484181924441,47866,74809,31902,33958,0.6664856056491038,0.45392934005266744,0.2125562655964363
60,0.01,M1_RESIDUAL_POSITIVE,2023-09-28,2023-10-31,33,124872,126025,4998,5021,4995,0.9942277070063694,124872,126025,0.35884423743500865,124824,125465,66257,0.3600297774300122,0.5308033711465744,0.5280914996214083,0.5294439627790275,0.6399702225699878,58567,59208,117775,641,4995,0.8088268377668889,0.8101408342978303,0.5,0.3333333333333333,0.48,0.3157894736842105,0.6,0.42857142857142855,0.592,0.42045454545454547,4842,0.9740494870247435,0.4450895456196855,0.3667012947319263,57448,67376,36254,30003,0.6310750591839577,0.44530693421990025,0.18576812496405742
60,0.01,M1_RESIDUAL_POSITIVE,2023-10-31,2023-11-30,30,126025,127181,5021,5044,5019,0.9946492271105827,126025,127181,0.3258385782655594,125915,126554,62228,0.32710088782123725,0.4942064090854942,0.49171104824817863,0.4929555707829476,0.6728991121787627,63687,64326,128013,639,5019,0.7716156498306699,0.7745331890105083,0.3333333333333333,0.2,0.3333333333333333,0.2,0.5099601593625498,0.3422459893048128,0.50199203187251,0.3351063829787234,4895,0.9772409662607306,0.43106993320720305,0.4334532186411461,60209,65706,35993,26235,0.5978009932069956,0.3992786046936353,0.19852238851336035
60,0.01,M1_RESIDUAL_POSITIVE,2023-11-30,2023-12-29,29,127181,127785,5044,5056,5040,0.9960474308300395,127181,127785,0.31712961767152087,127133,127394,61389,0.3178504489018215,0.4828722676252429,0.48188297722027723,0.4823771151979947,0.6821495510981785,65744,66005,131749,261,5040,0.7507276512913034,0.7552822253403562,0.0,0.0,0.0,0.0,0.26587301587301587,0.15331807780320367,0.27380952380952384,0.15862068965517243,4954,0.9844992050874404,0.461086543840496,0.46151768492405076,60621,66512,35258,26131,0.5816136322396529,0.39287647341833054,0.18873715882132236
60,0.01,M1_RESIDUAL_POSITIVE,2023-12-29,2024-01-31,33,127785,128040,5056,5061,5047,0.9954635108481262,127785,128040,0.2279501763985888,127721,127911,47490,0.22816154356160698,0.37182608967984904,0.3712737762975819,0.37154972773361705,0.771838456438393,80231,80421,160652,190,5047,0.6806022131635606,0.6848109068112643,0.17647058823529413,0.0967741935483871,0.13725490196078433,0.07368421052631578,0.31225296442687744,0.18501170960187355,0.32806324110671936,0.19621749408983452,4890,0.9719737626714371,0.3177942081133237,0.23418290493027605,55222,72499,24699,22791,0.44726739343015465,0.3143629567304377,0.13290443669971697
60,0.01,M1_RESIDUAL_POSITIVE,2024-01-31,2024-02-29,29,128040,128395,5061,5068,5059,0.9978303747534517,128040,128395,0.13449746498314413,128039,128393,30401,0.13449925010286198,0.23743546888057546,0.2367808213843434,0.23710769326761091,0.865500749897138,97638,97992,195630,354,5059,0.5258847289454144,0.5277035358739081,0.0392156862745098,0.02,0.0392156862745098,0.02,0.2134387351778656,0.11946902654867257,0.2134387351778656,0.11946902654867257,3485,0.7016307630360379,0.32967856717492783,0.22147537144180152,41324,86715,9869,20532,0.23882005614170942,0.2367756443521882,0.002044411789521222
60,0.01,M1_RESIDUAL_POSITIVE,2024-02-29,2024-03-29,29,128395,128903,5068,5078,5063,0.9960653157584104,128395,128903,0.4210569918425282,128353,128700,76237,0.4216275108397487,0.5939635224731794,0.5923620823620823,0.5931617215126842,0.5783724891602513,52116,52463,104579,347,5063,0.8594834776775049,0.8604262872242178,0.5686274509803921,0.3972602739726027,0.5882352941176471,0.4166666666666667,0.6614173228346457,0.49411764705882355,0.6535433070866141,0.4853801169590643,3295,0.8135802469135802,0.6025728378010183,0.6231681315160131,19400,108953,13578,62659,0.6998969072164949,0.5751011904215579,0.12479571679493695
