analysis_date,window,expected_node_count,actual_node_count,expected_edge_count,expected_degree_sum,raw_degree_sum,residual_degree_sum,node_count_ok,key_unique,raw_degree_sum_ok,residual_degree_sum_ok,degree_nonnegative,strength_nonnegative,percentile_valid,degree_percentile_match,percentile_source_copy_ok,max_raw_degree_percentile_diff,max_residual_degree_percentile_diff,raw_strength_float32_rank_diff,residual_strength_float32_rank_diff,raw_degree_source_copy_diff,raw_strength_source_copy_diff,residual_degree_source_copy_diff,residual_strength_source_copy_diff,raw_isolated_share,residual_isolated_share,mean_delta_degree_percentile,mean_delta_strength_percentile,median_abs_delta_degree_percentile,median_abs_delta_strength_percentile,qa_pass,qa_errors
2023-04-28,120,4862,4862,118129,236258,236258,236258,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0001028194588331699,2.9790063083012797e-08,0.0,0.0,0.0,0.0,0.16371863430686961,0.05614973262032086,1.979108358890811e-09,3.8080404737465474e-10,0.13867750763893127,0.1370835304260254,True,
2023-05-31,120,4856,4856,117828,235656,235656,235656,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9753224661810407e-08,2.9753224661810407e-08,0.0,0.0,0.0,0.0,0.1534184514003295,0.04056836902800659,1.7874642494679283e-09,-2.485572604410338e-10,0.140444815158844,0.14065074175596237,True,
2023-06-30,120,4858,4858,117940,235880,235880,235880,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790052979983273e-08,2.9790052979983273e-08,0.0,0.0,0.0,0.0,0.1517085220255249,0.03128859613009469,8.89530001279502e-11,-3.650140350077956e-10,0.1352923084050417,0.13452038168907166,True,
2023-07-31,120,4876,4876,118818,237636,237636,237636,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0001025384718321698,2.9777874166470042e-08,0.0,0.0,0.0,0.0,0.15648072190319934,0.03712059064807219,-2.593416308065826e-09,-4.839974167505379e-10,0.11915503442287445,0.11894993484020233,True,
2023-08-31,120,4897,4897,119850,239700,239700,239700,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00010210581767405857,2.9796236589163527e-08,0.0,0.0,0.0,0.0,0.14396569328160097,0.0414539513988156,2.574687566907157e-09,2.5294241867236807e-10,0.12517869472503662,0.12436187267303467,True,
2023-09-28,120,4929,4929,121418,242836,242836,242836,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9796276113103204e-08,2.9796276113103204e-08,0.0,0.0,0.0,0.0,0.13004666260904849,0.03469263542300669,1.5327426912722179e-09,-9.522957549324431e-11,0.1349157691001892,0.13451004028320312,True,
2023-10-31,120,4946,4946,122270,244540,244540,244540,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790271360852216e-08,2.9790271360852216e-08,0.0,0.0,0.0,0.0,0.13708046906591184,0.040436716538617065,8.405628736521423e-10,-1.1448526594545308e-10,0.1287909299135208,0.12717348337173462,True,
2023-11-30,120,4976,4976,123761,247522,247522,247522,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9706494930614724e-08,2.9706494930614724e-08,0.0,0.0,0.0,0.0,0.16016881028938906,0.04019292604501608,-3.2618749659161093e-09,4.896181381017065e-10,0.13203375041484833,0.13374194875359535,True,
2023-12-29,120,5014,5014,125662,251324,251324,251324,True,True,True,True,True,True,True,True,True,0.0,0.0,2.979043478568144e-08,9.97418942658701e-05,0.0,0.0,0.0,0.0,0.1814918228958915,0.03789389708815317,-3.863484154767043e-11,4.896223188445156e-10,0.13831272721290588,0.14080575108528137,True,
2024-01-31,120,5041,5041,127017,254034,254034,254034,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9796410450089184e-08,9.920673459273832e-05,0.0,0.0,0.0,0.0,0.32275342194009127,0.04820472128545923,1.6069517464799507e-09,2.8710082938949686e-10,0.14411818981170654,0.14481252431869507,True,
2024-02-29,120,5047,5047,127325,254650,254650,254650,True,True,True,True,True,True,True,True,True,0.0,0.0,2.979641744449424e-08,2.979641744449424e-08,0.0,0.0,0.0,0.0,0.5121854567069546,0.18307905686546463,3.897272196528414e-09,3.1178177572227314e-09,0.1645531952381134,0.1645531952381134,True,
2024-03-29,120,5057,5057,127832,255664,255664,255664,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9796429101835997e-08,2.9796429101835997e-08,0.0,0.0,0.0,0.0,0.5176982400632786,0.1742139608463516,-2.482544652129059e-09,-3.466722591370727e-09,0.17174214869737625,0.17174214869737625,True,
2024-04-30,120,5068,5068,128383,256766,256766,256766,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9778800425539487e-08,9.868369858945236e-05,0.0,0.0,0.0,0.0,0.5234806629834254,0.1483820047355959,-8.89424084676187e-09,-7.080109738513251e-09,0.18754934519529343,0.18754934519529343,True,
2024-05-31,120,5057,5057,127825,255650,255650,255650,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9796429101835997e-08,2.9796429101835997e-08,0.0,0.0,0.0,0.0,0.485070199723156,0.12161360490409334,1.1145667829885063e-09,2.154730892426557e-09,0.190626859664917,0.18924260139465332,True,
2024-06-28,120,5065,5065,128227,256454,256454,256454,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9796438427709404e-08,2.9796438427709404e-08,0.0,0.0,0.0,0.0,0.4819348469891412,0.12931885488647582,-2.4256677994723383e-09,-1.2665251518166665e-09,0.19368213415145874,0.19249749183654785,True,
