analysis_date,previous_analysis_date,window,factor_name,method,scope,portfolio_scope,liquidity_basis,participation_cap,target_executable_share,execution_days,trade_name_n,total_abs_trade_weight,zero_adv_trade_weight_share,capacity_status,capacity_cny,capacity_yi_cny,baseline_executable_share,coverage_at_capacity,root_upper_bracket_cny,root_iterations,name_capacity_p10_cny,name_capacity_p50_cny,name_capacity_p90_cny,gross_notional_at_capacity_cny
2022-07-29,2022-06-30,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2821,2.3033372476468217,0.0009597830266672529,PASS,1231119688.4172924,12.311196884172924,0.9990402169733329,0.9500000000004248,1231119688.4288697,40,1189804383.0680091,7541270545.317448,124980419927.23454,2462239376.8345847
2022-08-31,2022-07-29,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2733,2.059925560935638,0.000548409561192308,PASS,1425238046.9209661,14.252380469209662,0.9994515904388078,0.950000000000248,1425238046.933806,40,1457365663.5625002,9499828495.119368,189068855631.21573,2850476093.8419323
2022-09-30,2022-08-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2642,1.8142539254715624,0.0013805598562580098,PASS,970127423.4683293,9.701274234683293,0.9986194401437419,0.9500000000004132,970127423.4733336,41,1078892788.7102711,8539972141.888972,196864619870.5251,1940254846.9366586
2022-10-31,2022-09-30,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2628,1.7706854479485257,0.004732585085740909,PASS,940960287.447252,9.40960287447252,0.995267414914259,0.9500000000001159,940960287.4525356,41,1111084488.1655142,9619796790.245935,115926936516.08403,1881920574.894504
2022-11-30,2022-10-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2738,1.9445624374381056,0.0,PASS,1371287047.7596173,13.712870477596173,0.9999999999999999,0.9500000000005799,1371287047.7718315,40,1331332046.753002,9764081363.365858,179717217936.79657,2742574095.5192347
2022-12-30,2022-11-30,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2648,1.736895697671961,0.003818921180808324,PASS,1044766067.4818764,10.447660674818763,0.9961810788191917,0.9500000000000393,1044766067.4873592,41,1108871809.155,9706155367.907696,200221051458.94067,2089532134.9637527
2023-01-31,2022-12-30,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2682,1.7668683967939325,0.002569849937948587,PASS,917926793.8055184,9.179267938055183,0.9974301500620515,0.9500000000001657,917926793.810682,41,1013182577.3547363,8663320026.538841,227400149494.9843,1835853587.6110368
2023-02-28,2023-01-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2751,1.8665440006312388,0.0027864693914463287,PASS,1475136923.2902398,14.751369232902398,0.9972135306085538,0.9500000000004887,1475136923.3022246,40,1558449506.8023121,10840995399.64154,271062333088.08377,2950273846.5804796
2023-03-31,2023-02-28,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2949,2.2402447259407974,0.0013934853379329983,PASS,1358211650.0638332,13.582116500638332,0.998606514662067,0.950000000000006,1358211650.0748796,40,1257784993.5987954,6976772533.571671,123023205080.77466,2716423300.1276665
2023-04-28,2023-03-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2966,2.222722513222161,0.005301281244472918,PASS,1201313874.2151752,12.013138742151751,0.9946987187555272,0.9500000000004418,1201313874.2217007,41,1189113130.6617355,7822759179.755903,151293540218.77362,2402627748.4303503
