analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,scope,portfolio_scope,liquidity_basis,participation_cap,target_executable_share,execution_days,trade_name_n,total_abs_trade_weight,zero_adv_trade_weight_share,capacity_status,capacity_cny,capacity_yi_cny,baseline_executable_share,coverage_at_capacity,root_upper_bracket_cny,root_iterations,name_capacity_p10_cny,name_capacity_p50_cny,name_capacity_p90_cny,gross_notional_at_capacity_cny,rebalance_type
2016-01-29,2015-12-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,682,1.2135699771725676,0.05420195895690491,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9457980410430951,0.9457980410430951,0.0,0,1359517782.4343731,3947026873.6254044,46433963285.23683,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,665,0.9991147558711826,0.06379487086313458,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9362051291368655,0.9362051291368655,0.0,0,1565050877.622417,6239528733.155001,121647114772.5424,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,501,1.688720058629458,0.07075367057103295,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.929246329428967,0.929246329428967,0.0,0,1545363623.9179616,3965901318.5585146,21453385399.21657,0.0,PORTFOLIO_LEG
2016-02-29,2016-01-29,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,769,1.7055065394677125,0.05030206882571312,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.949697931174287,0.949697931174287,0.0,0,994624198.0584266,2513114386.361698,11561812967.015839,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,453,1.4258300808578923,0.06222609902358129,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9377739009764188,0.9377739009764188,0.0,0,1967058877.6293566,5063123081.821687,64996293535.84525,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,713,1.4037030233667784,0.05145903944346416,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.948540960556536,0.948540960556536,0.0,0,1352682501.7983131,3810289921.6274996,67279618700.81375,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,448,1.5653460405817394,0.06753754937321085,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9324624506267893,0.9324624506267893,0.0,0,1471132191.3999197,4123691917.181145,27951935356.585552,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,705,1.5028965918305979,0.06148602221619022,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9385139777838097,0.9385139777838097,0.0,0,1216638214.7404099,3063219918.199525,51921771868.68439,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,464,1.179691860494771,0.10326516397393173,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.8967348360260683,0.8967348360260683,0.0,0,2209856519.5808277,7413949279.86147,167629562137.49634,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,739,1.3129642478903807,0.059841968875655495,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9401580311243446,0.9401580311243446,0.0,0,1385118585.8226006,4008194960.180001,72273923289.27414,0.0,PORTFOLIO_LEG
