scope,portfolio_scope,factor_name,method,window,liquidity_basis,participation_cap,target_executable_share,execution_days,rebalance_n,no_trade_rebalance_n,capacity_status,mean_coverage_capacity_cny,mean_coverage_capacity_yi_cny,baseline_mean_executable_share,mean_executable_share_at_capacity,root_upper_bracket_cny,root_iterations,rebalance_capacity_zero_share,rebalance_capacity_infinite_share,rebalance_capacity_mean_cny_finite,rebalance_capacity_p10_cny_finite,rebalance_capacity_p25_cny_finite,rebalance_capacity_p50_cny_finite,rebalance_capacity_p75_cny_finite,rebalance_capacity_p90_cny_finite,share_rebalances_meeting_95pct_at_aggregate_capacity,gross_notional_at_capacity_cny,step3_grid_lower_pass_cny,step3_grid_upper_fail_cny,capacity_within_step3_grid_bracket
PORTFOLIO_LEG,Q1,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,910980509.8495469,9.10980509849547,0.9890771865219017,0.9500000000001579,910980509.8572328,41,0.03731343283582089,0.0,1379035830.363646,460806365.54020363,704821626.8495996,1103856142.5661762,1549733528.3695972,2907132975.601753,0.6268656716417911,910980509.8495469,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,827644164.1184003,8.276441641184004,0.9827742605329717,0.9500000000005372,827644164.1266026,41,0.11194029850746269,0.0,1196977729.455417,0.0,621876350.268532,999386101.7901697,1449122933.8067737,2760822088.8199263,0.5746268656716418,827644164.1184003,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,872674186.537095,8.726741865370949,0.9881564753602725,0.9500000000002042,872674186.5416002,42,0.05223880597014925,0.0,1330040045.3483758,455096831.74390817,724662499.041837,1013380685.2434604,1676154503.7126205,2896170447.8304853,0.6492537313432836,872674186.537095,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,867851663.9818884,8.678516639818884,0.9866251024217074,0.9500000000004614,867851663.9879608,41,0.05223880597014925,0.0,1332526587.9474044,371317959.44963926,718685581.3878284,1052358816.4784828,1599701896.9216611,2961059637.8561926,0.6119402985074627,867851663.9818884,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,842713710.2715664,8.427137102715664,0.98667553236347,0.9500000000004033,842713710.2774719,41,0.05970149253731343,0.0,1276284247.6802888,377333147.1888154,678406031.0873086,1025203653.8038528,1525706026.809031,2666105232.061251,0.6119402985074627,842713710.2715664,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,909488420.5567231,9.094884205567231,0.9905035277858929,0.9500000000004498,909488420.5644164,41,0.007462686567164179,0.0,1378283069.8960075,526416867.69397676,775058943.4068365,1094180082.876315,1723072010.5446916,2765402567.2047825,0.6119402985074627,909488420.5567231,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,799404899.2465329,7.994048992465329,0.9830973339064819,0.9500000000004143,799404899.2530298,41,0.1044776119402985,0.0,1195006076.2731402,84220072.23949283,621529299.7925439,991350061.2289498,1438074879.18917,2719616147.125583,0.5970149253731343,799404899.2465329,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,134,0,PASS,917240486.873217,9.172404868732169,0.9886244431326054,0.9500000000003268,917240486.8780923,42,0.03731343283582089,0.0,1393799591.521043,485173480.2506757,736641252.8129022,1149596560.9509044,1781328880.4688187,2766913768.659195,0.5895522388059702,917240486.873217,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,133,0,PASS,849596189.1491435,8.495961891491435,0.9908018394507461,0.950000000000051,849596189.1535388,41,0.015037593984962405,0.0,1321859754.2741332,506358219.82960004,723906970.8852849,1013251353.2332352,1513857485.272314,2705493465.803527,0.6390977443609023,849596189.1491435,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,133,0,PASS,818206697.7282336,8.182066977282336,0.9904559367745648,0.950000000000105,818206697.7327633,41,0.007518796992481203,0.0,1273467739.6659367,483388644.88855535,693351127.621082,1009899755.9684026,1559716207.201892,2525377568.7429895,0.6240601503759399,818206697.7282336,500000000.0,1000000000.0,True
