regime_type,sample_scope,factor_name,window,regime,alpha_ic,alpha_ic_t,idio_ic,idio_ic_t,mean_capacity_yi,median_capacity_yi,p10_capacity_yi,zero_capacity_share
NETWORK,COMMON_DATE,delta_degree_percentile,252,MEDIUM,0.0067251238337012,0.6723727573802355,0.0511014316611891,5.149240455443013,18.61235242414473,14.346282020094437,7.481673671023475,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,60,HIGH,-0.0012150289761341,-0.1672370045872774,-0.0081172023787976,-1.123900436995254,18.263770870690102,16.912622957407063,9.05067836167435,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,60,LOW,0.0127780062725027,2.783831702599107,-0.0024868559753031,-0.4153455144033014,11.640049896267456,9.248462254605805,6.833326421207293,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,60,MEDIUM,0.0021922320246671,0.416173999072192,-0.014915392875653,-2.332770085874294,16.556793014975426,13.333035893106976,5.602655128200362,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,120,HIGH,-0.005835098854895,-1.6881975356431156,0.0047465586840978,0.7785057143071954,17.1004303009961,15.28658309018557,8.788124107178017,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,120,LOW,0.0124652056671285,1.4584600673896866,0.0009697999416847,0.1696498708715486,9.613086359236474,9.072217110331176,6.520342632118963,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,120,MEDIUM,0.00196755542206,0.5110580435338232,0.0021258619611847,0.3693062365942507,16.167176165477613,12.59491564532308,6.010486666872311,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,252,HIGH,0.0001937639439414,0.0521792948681329,0.010327873701543,2.1530450861227783,17.133856319604007,13.982806541835508,7.581206070909803,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,252,LOW,0.0099353997758114,1.6858084272463494,-0.0015815413907279,-0.3141785262173165,8.426722676555196,7.636383228695736,5.831876007819638,0.0
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,252,MEDIUM,-0.008553481712341,-1.429117953700017,-5.5353956263023366e-05,-0.0083681893070969,17.12742872320548,13.445494402251772,5.934251483139405,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,60,HIGH,0.0005891035565113,0.0856167169924483,-0.0663975506239797,-6.707654947391116,18.045845173464347,16.234183271773926,9.0791846542517,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,60,LOW,0.0029045169879426,0.4112835203498224,-0.0793018630064842,-12.254796895335495,11.68239146399306,9.05113641193497,6.659534151732288,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,60,MEDIUM,0.0272815774747716,3.0257799078998118,-0.067193008847418,-9.534944630534865,16.57566725938569,13.849550329473487,5.820618161687602,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,120,HIGH,0.0021486253077753,0.3791650818095365,-0.0434578822570087,-6.774290208537283,16.187428005613942,13.934566480934633,8.08873255496393,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,120,LOW,0.001601567070919,0.1823080662407901,-0.0580686085925935,-9.811491080069558,9.166425491823407,8.50306097243121,6.229020636749789,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,120,MEDIUM,0.0087071952662457,0.8903681350152703,-0.041865197777393,-4.867248155881807,15.188270217833242,11.908015313485045,5.9911422374577015,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,252,HIGH,0.0058690017700548,1.4842391257841794,-0.0017852516298855,-0.3267298561246621,15.540020141459529,12.403915333029532,7.235359991527392,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,252,LOW,0.0113189622868353,1.1308822657681663,-0.0181610049501068,-1.9963139708931943,7.863463940497683,6.734865519467533,5.7228564916157785,0.0
NETWORK,COMMON_DATE,neighbor_jaccard_1m,252,MEDIUM,-0.00089390206086,-0.1080660262157932,-0.0117976670283892,-1.835252669653808,15.66721327209934,12.156437575965017,5.560806337311091,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,60,HIGH,-0.0008383162903845,-0.1504172778744222,-0.0617236199199842,-6.0093385553511,17.084873355349956,15.251808566494775,8.714012042089243,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,60,LOW,0.0085308313679912,1.479111044152245,-0.0707378454768301,-12.325921091823018,11.22202015197196,9.015691978119044,6.513230304991655,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,60,MEDIUM,0.0283446704474884,3.119541797880269,-0.063555191221538,-9.526786495415337,15.783465602308883,13.351616966959323,5.584898652371431,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,120,HIGH,-0.000431012425166,-0.1098120353451351,-0.0286957648005102,-4.474229318065386,15.672026427869824,13.692784148408933,7.783002670009895,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,120,LOW,0.007933968539619,1.2719566357554548,-0.0472971693191501,-10.701178818012412,8.932115701265579,8.31796825048355,6.092244459760749,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,120,MEDIUM,0.0064958217853288,0.7415246893259086,-0.0341457795702095,-4.350614228049265,14.770349393574586,11.635660669917328,5.813185133110298,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,252,HIGH,0.0020239840911972,0.5021066089774653,0.0147785212628062,2.5775599073221693,15.358638311666382,12.309001505283156,7.217950169315608,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,252,LOW,0.0108374438084127,1.305030256346549,-0.0044212056543639,-0.6564784931827159,7.792430005812513,6.7947108231308775,5.459244350641707,0.0
NETWORK,COMMON_DATE,neighbor_retention_1m,252,MEDIUM,-0.0034980537923025,-0.4090419702404801,-0.0037670567156764,-0.6538187160612094,15.019175171267849,11.986540554141854,5.443309320229696,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,60,HIGH,-0.0091414668980599,-0.9709449838861628,-0.0853247210125389,-10.2481609382758,18.444969231051225,18.303756687546567,9.456680639163302,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,60,LOW,0.007849018581817,1.0509245411751882,-0.0765717006651206,-15.940939466579106,11.973758805284197,9.54116982881266,6.732399094817737,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,60,MEDIUM,0.0181737973100758,2.1330046751490324,-0.0853513654883339,-9.160652928108597,17.13201908392002,13.846291235817349,5.773752622540755,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,120,HIGH,-0.0012978560354579,-0.1546463599517369,-0.0704963695404205,-7.450731131449638,17.954970396280647,16.17208616321661,9.170049297175742,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,120,LOW,0.0104501505699975,0.8069961970428582,-0.0768718946573793,-9.463151545993007,10.411924960864235,9.580485167775196,7.109604310315799,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,120,MEDIUM,0.0131847623383021,1.156830179202626,-0.0899926506012723,-10.784139958904827,16.861387257830366,13.6790990808283,6.7541233852855855,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,252,HIGH,0.0086914777208512,1.2152923024769464,-0.0654954116382572,-8.51087510588055,18.53332794988965,15.221684554594512,8.940039468699558,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,252,LOW,0.0168411493446904,1.376304801984075,-0.0583581321447361,-5.741780749416643,9.65514128464746,9.107174031724249,6.155955833013222,0.0
NETWORK,COMMON_DATE,outside_community_degree_percentile,252,MEDIUM,0.0098995391072595,1.0314782215993643,-0.0766141726198319,-6.089401810178998,18.78691450021468,14.202528195690316,6.853536956105341,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,60,HIGH,-0.0013049097345708,-0.1444975512010991,-0.0732140830606583,-7.22875343707279,18.2908026737701,17.059245806558806,9.036674658762513,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,60,LOW,0.0036989255298724,0.4071594916260977,-0.0627486624948909,-9.206188059222985,11.895840142150291,9.354106623141302,6.649818446065064,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,60,MEDIUM,0.0278608149271293,2.468965844825468,-0.0640878351589564,-5.457332183082135,16.50053629475783,13.78977542160058,6.214749523257012,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,120,HIGH,0.0074830694127494,1.0278032727353774,-0.0531309604989125,-6.97009517710469,17.997801510861926,15.715247353271652,8.948584835055337,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,120,LOW,0.008603976308589,0.6640114038074884,-0.05989607712792,-6.088517720733534,10.169799619603628,10.405337768802797,6.498442532863877,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,120,MEDIUM,0.0144395254327017,1.1245856160890355,-0.0521089600143983,-4.810231184804715,16.802761394037937,13.763539487907408,6.647512790034581,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,252,HIGH,0.0100184757419712,1.4949356008846637,-0.0491111217435213,-6.870453188298213,19.14967396364662,16.238536027689072,8.901823039605866,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,252,LOW,0.0214488656223584,1.25876396534965,-0.0441907415723441,-2.7871753214610275,10.038953976440215,8.571636941821737,6.523958528399084,0.0
NETWORK,COMMON_DATE,residual_degree_percentile,252,MEDIUM,-0.0052240334320089,-0.4268880302670726,-0.0467733290795301,-4.97804715107434,18.87610660493603,14.771302260526586,7.511239594204539,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,60,HIGH,8.766028100881673e-05,0.0112836161893344,-0.0794282809571446,-8.72021059355972,16.555116344466732,15.88446680105652,5.333716666661123,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,60,LOW,0.0079492119849311,0.9764379696969208,-0.0674589698571362,-11.75191456673466,11.75245870959042,8.934207056086057,6.550728665782712,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,60,MEDIUM,0.0285715594671809,3.292480143331697,-0.0729641400040606,-7.0119842033502415,15.50396885848824,13.108736216651288,4.868139977244391,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,120,HIGH,0.0102379651543066,1.6221455763041706,-0.0565412101905669,-7.593611662587453,16.61136886775613,14.999836414531844,5.46777550276719,0.0
NETWORK,NATIVE,cross_industry_degree_percentile,120,LOW,0.0106759385726993,0.8027014893823381,-0.0565611474247245,-6.845030514865933,10.30581247235678,9.740704886362934,7.070371086332056,0.0
