regime_type,sample_scope,factor_name,window,alpha_hl,alpha_hl_t,idio_hl,idio_hl_t,idio_hl_q,capacity_mean_hl_yi,capacity_median_hl_yi,capacity_hl_t,capacity_hl_q,risk_capacity_pattern
RECONFIG,COMMON_DATE,cross_industry_degree_ratio,252,0.0012975765385735,0.1832003039710692,-0.0087194108345018,-1.451819315344815,0.6423783083310095,-0.9610960226009944,0.4276059200172142,-0.5815937601956034,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,delta_cross_industry_degree_percentile_1m,60,-0.0072979676433901,-1.332778305219016,0.0039807412191175,0.4454561304482524,0.8805600201631432,1.6433426139947258,0.5879248633993761,0.8950425181303392,0.9963603540020344,RISK_UP_CAPACITY_UP
RECONFIG,COMMON_DATE,delta_cross_industry_degree_percentile_1m,120,-0.0022963154466311,-0.3021725798338197,-0.0103211785391738,-1.3169232755895786,0.6423783083310095,-0.0902710585965156,1.3607198837305994,-0.0517401976414254,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,delta_cross_industry_degree_percentile_1m,252,-0.0035388474590588,-0.4726064176956799,-0.0112719547314889,-1.765186684816437,0.6423783083310095,-0.7857530648132016,0.3342542977145903,-0.4399344753884797,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,delta_degree_percentile,60,-0.0092560907148567,-0.7614820806654986,0.0001297643758453,0.0120132043675548,0.9904150802545164,1.5678454503990429,0.2085308758941959,0.811218970777683,0.9963603540020344,RISK_UP_CAPACITY_UP
RECONFIG,COMMON_DATE,delta_degree_percentile,120,0.0154094758866061,1.3888982566119286,-0.002488341032708,-0.2364989113267938,0.914676245953802,-0.5304327859569771,2.111546809710811,-0.2658857606356065,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,delta_degree_percentile,252,-0.0067691455822872,-0.5595226318365057,-0.0131584848842879,-1.6990064686269697,0.6423783083310095,-1.3319183980147002,-0.1941865676221912,-0.681249926578537,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,delta_residual_degree_percentile_1m,60,-0.0102562319842875,-1.5929897329502225,0.0039420653999261,0.4369771086419174,0.8805600201631432,1.5449734508999224,0.4801693592033391,0.8368248645591698,0.9963603540020344,RISK_UP_CAPACITY_UP
RECONFIG,COMMON_DATE,delta_residual_degree_percentile_1m,120,-0.0030395166657813,-0.3790378676409457,-0.0083779770244077,-1.0163860806472915,0.6423783083310095,0.0079632765732036,1.7182502554178125,0.0045616356041717,0.9963603540020344,RISK_DOWN_CAPACITY_UP
RECONFIG,COMMON_DATE,delta_residual_degree_percentile_1m,252,-0.00571887919407,-0.8047571760368024,-0.0114821081486996,-2.049979488222,0.6423783083310095,-0.5898662193303803,0.3496506997077571,-0.3436160295766655,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,neighbor_jaccard_1m,60,-0.0210960858760959,-2.43370766648995,0.0097184104904521,1.096496301155819,0.6423783083310095,1.901711731317647,0.9205215702400072,1.1005874838714698,0.9963603540020344,RISK_UP_CAPACITY_UP
RECONFIG,COMMON_DATE,neighbor_jaccard_1m,120,-0.0067170592962368,-0.6171611658526889,0.0125077589003146,1.1944894385234883,0.6423783083310095,-0.05788074459827,0.9329468404114394,-0.0354081402853212,0.9963603540020344,RISK_UP_CAPACITY_DOWN
RECONFIG,COMMON_DATE,neighbor_jaccard_1m,252,-0.0199640120397485,-2.1162721627694867,-0.0039045584064045,-0.5105883897285702,0.8805600201631432,-0.2253890418552107,0.312658174698031,-0.1490776405375805,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,neighbor_retention_1m,60,-0.0272586954040139,-3.0568957206425664,0.0104116347122919,1.070147990881149,0.6423783083310095,1.8201244699302968,1.1517806877310337,1.090520776225488,0.9963603540020344,RISK_UP_CAPACITY_UP
RECONFIG,COMMON_DATE,neighbor_retention_1m,120,-0.0131413962858881,-1.4444455978726465,0.0124766050880265,1.2911930803817846,0.6423783083310095,-0.2469860928334704,1.1675034939457447,-0.1514524428738232,0.9963603540020344,RISK_UP_CAPACITY_DOWN
RECONFIG,COMMON_DATE,neighbor_retention_1m,252,-0.0202323343636815,-2.3024219187622506,-0.0087734427911531,-1.1514568923494828,0.6423783083310095,-0.5136324763199802,-0.0264213785818334,-0.3474201257112324,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,outside_community_degree_percentile,60,-0.0250816460048023,-2.098259533097329,0.0026388679132677,0.3103892395434937,0.8877893195998492,1.6655689756386245,1.1266550473983925,0.9347152501927024,0.9963603540020344,RISK_UP_CAPACITY_UP
RECONFIG,COMMON_DATE,outside_community_degree_percentile,120,-0.0044336791711611,-0.3045366811448229,-0.0010658639232238,-0.10157730389068,0.9576304354224436,0.1617317344129905,2.0689277154813954,0.0886705924520931,0.9963603540020344,RISK_DOWN_CAPACITY_UP
RECONFIG,COMMON_DATE,outside_community_degree_percentile,252,-0.0279945468838171,-2.570129001580617,-0.0045388759271858,-0.5476410620787824,0.8805600201631432,-1.1921826331094252,-0.9226246805803342,-0.6473346437596377,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,residual_degree_percentile,60,-0.0309969446930995,-2.33493577578734,0.0107109415399637,0.9796737383698136,0.6423783083310095,1.2818417521932552,0.7035903729401838,0.6969259373538553,0.9963603540020344,RISK_UP_CAPACITY_UP
RECONFIG,COMMON_DATE,residual_degree_percentile,120,-0.0068445352481478,-0.5291689861500424,0.0051673857059513,0.3618108952392616,0.8805600201631432,-0.3601117515430196,0.9810401918882778,-0.2014496100425277,0.9963603540020344,RISK_UP_CAPACITY_DOWN
RECONFIG,COMMON_DATE,residual_degree_percentile,252,-0.0363267028228085,-3.0661365147258843,-0.0038574907493607,-0.3770642365547847,0.8805600201631432,-0.8624959099471639,-0.9062542380876906,-0.4417319920087704,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,NATIVE,cross_industry_degree_percentile,60,-0.0216802580739764,-2.073538058727122,0.0121148739236064,1.2448268892152097,0.6595407122718964,1.65349317133869,2.367964021372444,0.959659828354234,0.993865216538566,RISK_UP_CAPACITY_UP
RECONFIG,NATIVE,cross_industry_degree_percentile,120,-0.0011005434885415,-0.0904709320604842,0.005014851081587,0.4151317725769701,0.9295445403401102,-0.205801341006083,1.915694315073015,-0.1214635532932829,0.993865216538566,RISK_UP_CAPACITY_DOWN
RECONFIG,NATIVE,cross_industry_degree_percentile,252,-0.03322510058582,-3.235581957736197,-0.0057280996059576,-0.6415798319139472,0.8794339279878942,-1.3577563294729489,-0.3624885524313495,-0.6896825737475839,0.993865216538566,RISK_DOWN_CAPACITY_DOWN
RECONFIG,NATIVE,cross_industry_degree_ratio,60,0.0135742348703912,1.6232867862768572,-0.0088054222623592,-1.132135098716676,0.6595407122718964,2.016100751608514,1.959957728891606,1.148621368308121,0.993865216538566,RISK_DOWN_CAPACITY_UP
RECONFIG,NATIVE,cross_industry_degree_ratio,120,0.0140484060570095,1.5632083124888323,-9.105090576934328e-05,-0.0126312021263236,0.9926325738034072,-0.1268232833081377,1.7516756692857314,-0.073949895727265,0.993865216538566,RISK_DOWN_CAPACITY_DOWN
RECONFIG,NATIVE,cross_industry_degree_ratio,252,0.0012975765385735,0.1832003039710692,-0.0087194108345018,-1.451819315344815,0.6595407122718964,-0.9610960226009944,0.4276059200172142,-0.5815937601956034,0.993865216538566,RISK_DOWN_CAPACITY_DOWN
RECONFIG,NATIVE,delta_cross_industry_degree_percentile_1m,60,-0.0066440310270625,-1.248262582375669,7.656456272341246e-05,0.0092338306244567,0.9926325738034072,1.9295273343732584,2.842612803667068,1.1383696911045087,0.993865216538566,RISK_UP_CAPACITY_UP
RECONFIG,NATIVE,delta_cross_industry_degree_percentile_1m,120,0.0004949354458268,0.066474996654171,-0.0094777980546905,-1.2784058736178774,0.6595407122718964,-0.0743960999081281,1.8497094011239703,-0.0447527115500331,0.993865216538566,RISK_DOWN_CAPACITY_DOWN
RECONFIG,NATIVE,delta_cross_industry_degree_percentile_1m,252,-0.0035388474590588,-0.4726064176956799,-0.0112719547314889,-1.765186684816437,0.6595407122718964,-0.7857530648132016,0.3342542977145903,-0.4399344753884797,0.993865216538566,RISK_DOWN_CAPACITY_DOWN
RECONFIG,NATIVE,delta_degree_percentile,60,-0.0147940670741843,-1.271120197928094,-0.0030408175558043,-0.3080117492680241,0.9295445403401102,1.861317580492729,2.492469120457786,1.0464220492215583,0.993865216538566,RISK_DOWN_CAPACITY_UP
RECONFIG,NATIVE,delta_degree_percentile,120,0.0175060078370034,1.606631081889848,-0.0026401225021937,-0.2639295072445091,0.9295445403401102,-0.4762741601324656,1.4701065958766737,-0.25144312754699,0.993865216538566,RISK_DOWN_CAPACITY_DOWN
RECONFIG,NATIVE,delta_degree_percentile,252,-0.0067691455822872,-0.5595226318365057,-0.0131584848842879,-1.6990064686269697,0.6595407122718964,-1.3319183980147002,-0.1941865676221912,-0.681249926578537,0.993865216538566,RISK_DOWN_CAPACITY_DOWN
