factor_order,factor_name,method,window,target_name,month_count,mean_risk_ic,median_risk_ic,std_risk_ic,positive_share,negative_share,hac_lag,hac_se,hac_t_stat
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_max_drawdown,133,-0.034535093910194915,-0.035509641896199456,0.04678980353131892,0.24060150375939848,0.7593984962406015,4,0.004624266865112852,-7.468231163460786
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_idio_vol_annualized,133,-0.06905577122853519,-0.07003491830640887,0.04466384117279304,0.05263157894736842,0.9473684210526315,4,0.004921920512935639,-14.030249177540545
2,delta_degree_percentile,RAW_COMMON,60,future_realized_vol_annualized,133,0.022224978087931148,0.02774295661120373,0.11601947419329205,0.6015037593984962,0.39849624060150374,4,0.017172483655036694,1.294220366394849
2,delta_degree_percentile,RAW_COMMON,60,future_downside_vol_annualized,133,0.03353231433499478,0.04176576372908873,0.12027465785368352,0.631578947368421,0.3684210526315789,4,0.016490241195519652,2.0334641523682144
2,delta_degree_percentile,RAW_COMMON,60,future_max_drawdown,133,0.04204772876147714,0.05403560649833566,0.11641790581324823,0.6992481203007519,0.3007518796992481,4,0.01356511680114573,3.099695297715809
2,delta_degree_percentile,RAW_COMMON,60,future_idio_vol_annualized,133,0.12018225429042087,0.1245184630916089,0.08648984990353388,0.9172932330827067,0.08270676691729323,4,0.010573564505970873,11.366295086444515
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_realized_vol_annualized,133,0.09666326512802174,0.09706832130077861,0.06743778679877606,0.924812030075188,0.07518796992481203,4,0.009451017232604482,10.227815985198832
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_downside_vol_annualized,133,0.10958940947360044,0.11023505981270927,0.06487915473331897,0.9548872180451128,0.045112781954887216,4,0.008938742888508919,12.260047172235106
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_max_drawdown,133,0.09592920517308057,0.09667446498870479,0.06125212068872558,0.9323308270676691,0.06766917293233082,4,0.007329281187087076,13.08848749616691
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_idio_vol_annualized,133,0.13186368770370402,0.13255897260798707,0.06077951456496022,0.9924812030075187,0.007518796992481203,4,0.007793709567553697,16.919245779015295
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_realized_vol_annualized,133,-0.03134389594097757,-0.031095349719895596,0.03905684406194272,0.21804511278195488,0.7819548872180451,4,0.0039206473022261375,-7.994571693092759
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_downside_vol_annualized,133,-0.02713831816788902,-0.027733278338114935,0.037906368981019116,0.23308270676691728,0.7669172932330827,4,0.003258082497506892,-8.329536832985493
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_max_drawdown,133,-0.019362459241111026,-0.023726756695374652,0.04012686085327933,0.3308270676691729,0.6691729323308271,4,0.0029635954002295586,-6.53343544790602
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_idio_vol_annualized,133,0.013423177905717973,0.008905873802554231,0.043910153765917226,0.6090225563909775,0.39097744360902253,4,0.004802182272652752,2.795224575743339
3,cross_industry_degree_percentile,RAW_COMMON,60,future_realized_vol_annualized,133,-0.12894054516736977,-0.1406481831240155,0.10398879255454194,0.12030075187969924,0.8796992481203008,4,0.016490878707856246,-7.818900827033708
3,cross_industry_degree_percentile,RAW_COMMON,60,future_downside_vol_annualized,133,-0.12141081024074256,-0.13311156853358747,0.11126826363429874,0.14285714285714285,0.8571428571428571,4,0.01778546376561602,-6.826406769075181
3,cross_industry_degree_percentile,RAW_COMMON,60,future_max_drawdown,133,-0.10358396180906186,-0.11113911143139148,0.10525541583662604,0.15789473684210525,0.8421052631578947,4,0.014947263275077668,-6.929961686148438
3,cross_industry_degree_percentile,RAW_COMMON,60,future_idio_vol_annualized,133,-0.12741057126948965,-0.12428335381294907,0.07930368970936398,0.06015037593984962,0.9398496240601504,4,0.011022588874271235,-11.55904231962144
