analysis_date,window,universe_n,industry_id1_coverage,log_market_value_coverage,momentum_120_20_coverage,reversal_20_coverage,volatility_60_coverage,log_turnover_20_coverage,all_controls_complete_share
2019-10-31,60,3628,1.0,1.0,0.9820837927232635,1.0,0.9986218302094818,1.0,0.9820837927232635
2019-10-31,120,3594,1.0,1.0,0.996661101836394,1.0,1.0,1.0,0.996661101836394
2019-10-31,252,3517,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-11-29,60,3638,1.0,1.0,0.9824079164376031,1.0,0.9991753710830127,1.0,0.9824079164376031
2019-11-29,120,3600,1.0,1.0,0.9980555555555556,1.0,1.0,1.0,0.9980555555555556
2019-11-29,252,3534,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-12-31,60,3641,1.0,1.0,0.9826970612469101,1.0,0.9994507003570448,1.0,0.9826970612469101
2019-12-31,120,3635,1.0,1.0,0.9917469050894085,1.0,1.0,1.0,0.9917469050894085
2019-12-31,252,3552,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-23,60,3663,1.0,1.0,0.9852579852579852,1.0,0.9961779961779962,1.0,0.9852579852579852
2020-01-23,120,3647,1.0,1.0,0.9975322182615849,1.0,1.0,1.0,0.9975322182615849
2020-01-23,252,3560,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-02-28,60,3697,1.0,1.0,0.9813362185555856,1.0,0.9972951041384907,1.0,0.9813362185555856
2020-02-28,120,3657,1.0,1.0,0.9983593109105825,1.0,1.0,1.0,0.9983593109105825
2020-02-28,252,3566,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-03-31,60,3718,1.0,1.0,0.9784830554061323,1.0,0.9983862291554599,1.0,0.9784830554061323
2020-03-31,120,3668,1.0,1.0,0.9978189749182116,1.0,1.0,1.0,0.9978189749182116
2020-03-31,252,3579,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-04-30,60,3744,1.0,1.0,0.9775641025641025,1.0,0.9975961538461539,1.0,0.9775641025641025
2020-04-30,120,3700,1.0,1.0,0.9943243243243243,1.0,1.0,1.0,0.9943243243243243
2020-04-30,252,3591,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-05-29,60,3738,1.0,1.0,0.9815409309791332,1.0,0.9994649545211343,1.0,0.9815409309791332
2020-05-29,120,3715,1.0,1.0,0.995693135935397,1.0,1.0,1.0,0.995693135935397
2020-05-29,252,3599,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-06-30,60,3749,1.0,1.0,0.9845292077887436,1.0,0.9991997866097626,1.0,0.9845292077887436
2020-06-30,120,3729,1.0,1.0,0.9970501474926253,1.0,1.0,1.0,0.9970501474926253
2020-06-30,252,3626,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-07-31,60,3765,1.0,1.0,0.9837981407702523,1.0,0.99867197875166,1.0,0.9837981407702523
2020-07-31,120,3752,1.0,1.0,0.9960021321961621,1.0,1.0,1.0,0.9960021321961621
2020-07-31,252,3635,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-31,60,3791,1.0,1.0,0.9825903455552625,1.0,0.9976259562120813,1.0,0.9825903455552625
2020-08-31,120,3761,1.0,1.0,0.9978729061419835,1.0,1.0,1.0,0.9978729061419835
2020-08-31,252,3641,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-30,60,3821,1.0,1.0,0.9772310913373462,1.0,0.9965977492802931,1.0,0.9772310913373462
2020-09-30,120,3780,1.0,1.0,0.9962962962962963,1.0,1.0,1.0,0.9962962962962963
2020-09-30,252,3661,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-30,60,3864,1.0,1.0,0.9736024844720497,1.0,0.9966356107660456,1.0,0.9736024844720497
2020-10-30,120,3802,1.0,1.0,0.9968437664387164,1.0,1.0,1.0,0.9968437664387164
2020-10-30,252,3688,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-11-30,60,3936,1.0,1.0,0.9636686991869918,1.0,0.9964430894308943,1.0,0.9636686991869918
2020-11-30,120,3828,1.0,1.0,0.9960815047021944,1.0,1.0,1.0,0.9960815047021944
2020-11-30,252,3715,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-12-31,60,4004,1.0,1.0,0.9565434565434565,1.0,0.9982517482517482,1.0,0.9565434565434565
2020-12-31,120,3879,1.0,1.0,0.9922660479505027,1.0,1.0,1.0,0.9922660479505027
2020-12-31,252,3737,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-29,60,4030,1.0,1.0,0.9607940446650124,1.0,0.9982630272952854,1.0,0.9607940446650124
2021-01-29,120,3922,1.0,1.0,0.9931157572667006,1.0,1.0,1.0,0.9931157572667006
2021-01-29,252,3758,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-02-26,60,4045,1.0,1.0,0.9681087762669963,1.0,0.9975278121137207,1.0,0.9681087762669963
2021-02-26,120,3971,1.0,1.0,0.9926970536388819,1.0,1.0,1.0,0.9926970536388819
2021-02-26,252,3766,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-31,60,4099,1.0,1.0,0.9724323005611125,1.0,0.9968284947548183,1.0,0.9724323005611125
2021-03-31,120,4028,1.0,1.0,0.9952830188679245,1.0,1.0,1.0,0.9952830188679245
2021-03-31,252,3781,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-04-30,60,4136,1.0,1.0,0.972678916827853,1.0,0.9980657640232108,1.0,0.972678916827853
2021-04-30,120,4055,1.0,1.0,0.9965474722564734,1.0,1.0,1.0,0.9965474722564734
2021-04-30,252,3805,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-05-31,60,4160,1.0,1.0,0.9699519230769231,1.0,0.9985576923076923,1.0,0.9699519230769231
2021-05-31,120,4085,1.0,1.0,0.9938800489596084,1.0,1.0,1.0,0.9938800489596084
2021-05-31,252,3829,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-06-30,60,4199,1.0,1.0,0.9714217670874018,1.0,0.9966658728268636,1.0,0.9714217670874018
2021-06-30,120,4120,1.0,1.0,0.996116504854369,1.0,1.0,1.0,0.996116504854369
2021-06-30,252,3874,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-07-30,60,4256,1.0,1.0,0.9673402255639098,1.0,0.9967105263157895,1.0,0.9673402255639098
2021-07-30,120,4163,1.0,1.0,0.9949555608935864,1.0,1.0,1.0,0.9949555608935864
2021-07-30,252,3936,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-08-31,60,4309,1.0,1.0,0.9656532838245533,1.0,0.9969830587143189,1.0,0.9656532838245533
2021-08-31,120,4196,1.0,1.0,0.9957102001906578,1.0,1.0,1.0,0.9957102001906578
2021-08-31,252,3994,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-09-30,60,4360,1.0,1.0,0.9642201834862385,1.0,0.9972477064220183,1.0,0.9642201834862385
2021-09-30,120,4249,1.0,1.0,0.9924688161920452,1.0,1.0,1.0,0.9924688161920452
2021-09-30,252,4036,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-10-29,60,4398,1.0,1.0,0.9656662119145066,1.0,0.9963619827194179,1.0,0.9656662119145066
2021-10-29,120,4289,1.0,1.0,0.9934716717183493,1.0,1.0,1.0,0.9934716717183493
2021-10-29,252,4053,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-11-30,60,4432,1.0,1.0,0.9693140794223827,1.0,0.9984205776173285,1.0,0.9693140794223827
2021-11-30,120,4340,1.0,1.0,0.993778801843318,1.0,1.0,1.0,0.993778801843318
2021-11-30,252,4094,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-12-31,60,4472,1.0,1.0,0.9720483005366727,1.0,0.998211091234347,1.0,0.9720483005366727
2021-12-31,120,4390,1.0,1.0,0.9945330296127562,1.0,1.0,1.0,0.9945330296127562
2021-12-31,252,4137,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-01-28,60,4502,1.0,1.0,0.9731230564193691,1.0,0.998223011994669,1.0,0.9731230564193691
2022-01-28,120,4433,1.0,1.0,0.9939093164899616,1.0,1.0,1.0,0.9939093164899616
2022-01-28,252,4174,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-02-28,60,4532,1.0,1.0,0.9748455428067079,1.0,0.9982347749338041,1.0,0.9748455428067079
2022-02-28,120,4458,1.0,1.0,0.9959623149394348,1.0,1.0,1.0,0.9959623149394348
2022-02-28,252,4196,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-03-31,60,4578,1.0,1.0,0.9746614242027086,1.0,0.9982525120139799,1.0,0.9746614242027086
2022-03-31,120,4501,1.0,1.0,0.9955565429904466,1.0,1.0,1.0,0.9955565429904466
2022-03-31,252,4253,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-04-29,60,4602,1.0,1.0,0.9767492394611038,1.0,0.9980443285528031,1.0,0.9767492394611038
2022-04-29,120,4532,1.0,1.0,0.9958075904677847,1.0,1.0,1.0,0.9958075904677847
2022-04-29,252,4296,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-05-31,60,4568,1.0,1.0,0.9792031523642732,1.0,0.999124343257443,1.0,0.9792031523642732
2022-05-31,120,4521,1.0,1.0,0.9953550099535501,1.0,1.0,1.0,0.9953550099535501
2022-05-31,252,4332,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-06-30,60,4602,1.0,1.0,0.9806605823554976,1.0,0.9984789222077358,1.0,0.9806605823554976
2022-06-30,120,4555,1.0,1.0,0.9967069154774972,1.0,1.0,1.0,0.9967069154774972
2022-06-30,252,4338,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-07-29,60,4643,1.0,1.0,0.980615981046737,1.0,0.9993538660348912,1.0,0.980615981046737
2022-07-29,120,4585,1.0,1.0,0.997164667393675,1.0,1.0,1.0,0.997164667393675
2022-07-29,252,4389,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-08-31,60,4671,1.0,1.0,0.9807321772639692,1.0,0.9997859130807107,1.0,0.9807321772639692
2022-08-31,120,4615,1.0,1.0,0.9950162513542795,1.0,1.0,1.0,0.9950162513542795
2022-08-31,252,4429,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-09-30,60,4709,1.0,1.0,0.9819494584837545,1.0,0.9980887661923975,1.0,0.9819494584837545
2022-09-30,120,4652,1.0,1.0,0.9948409286328461,1.0,1.0,1.0,0.9948409286328461
2022-09-30,252,4470,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-10-31,60,4734,1.0,1.0,0.9835234474017744,1.0,0.9974651457541192,1.0,0.9835234474017744
2022-10-31,120,4667,1.0,1.0,0.9982858367259482,1.0,1.0,1.0,0.9982858367259482
2022-10-31,252,4497,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-11-30,60,4774,1.0,1.0,0.9794721407624634,1.0,0.9981147884373691,1.0,0.9794721407624634
2022-11-30,120,4692,1.0,1.0,0.9972293265132139,1.0,1.0,1.0,0.9972293265132139
2022-11-30,252,4532,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022-12-30,60,4812,1.0,1.0,0.9758935993349959,1.0,0.9985453034081463,1.0,0.9758935993349959
2022-12-30,120,4729,1.0,1.0,0.9970395432438147,1.0,1.0,1.0,0.9970395432438147
2022-12-30,252,4568,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-01-31,60,4838,1.0,1.0,0.9754030591153369,1.0,0.9987598181066556,1.0,0.9754030591153369
2023-01-31,120,4754,1.0,1.0,0.9953723180479596,1.0,1.0,1.0,0.9953723180479596
2023-01-31,252,4590,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-02-28,60,4853,1.0,1.0,0.9793941891613435,1.0,0.9989697094580672,1.0,0.9793941891613435
2023-02-28,120,4794,1.0,1.0,0.9954109303295786,1.0,1.0,1.0,0.9954109303295786
2023-02-28,252,4613,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-03-31,60,4884,1.0,1.0,0.9836199836199836,1.0,0.9991809991809992,1.0,0.9836199836199836
2023-03-31,120,4833,1.0,1.0,0.9966894268570247,1.0,1.0,1.0,0.9966894268570247
2023-03-31,252,4648,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-04-28,60,4896,1.0,1.0,0.9875408496732027,1.0,0.9989787581699346,1.0,0.9875408496732027
2023-04-28,120,4862,1.0,1.0,0.9969148498560263,1.0,1.0,1.0,0.9969148498560263
2023-04-28,252,4669,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-05-31,60,4888,1.0,1.0,0.9879296235679215,1.0,0.9983633387888707,1.0,0.9879296235679215
2023-05-31,120,4856,1.0,1.0,0.9971169686985173,1.0,1.0,1.0,0.9971169686985173
2023-05-31,252,4688,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-06-30,60,4899,1.0,1.0,0.9867319861196162,1.0,0.9965299040620534,1.0,0.9867319861196162
2023-06-30,120,4858,1.0,1.0,0.9991766158913133,1.0,1.0,1.0,0.9991766158913133
2023-06-30,252,4690,1.0,1.0,1.0,1.0,1.0,1.0,1.0
