factor_order,factor_name,control_name,window,month_count,mean_spearman_exposure,median_spearman_exposure
2,delta_degree_percentile,volatility_60,60,135,0.13259016694663578,0.16518744111972544
2,delta_degree_percentile,volatility_60,120,135,0.11568971648057179,0.14131042819998443
2,delta_degree_percentile,volatility_60,252,129,0.09444395471643706,0.10439824797605181
3,cross_industry_degree_percentile,log_market_value,60,135,0.09616030159179255,0.07512702080506735
3,cross_industry_degree_percentile,log_market_value,120,135,0.18850923688090512,0.1906834676726989
3,cross_industry_degree_percentile,log_market_value,252,129,0.29140182176263224,0.29890470421657556
3,cross_industry_degree_percentile,log_turnover_20,60,135,-0.10934992962576275,-0.11874856873101239
3,cross_industry_degree_percentile,log_turnover_20,120,135,-0.10033499414898615,-0.09954406070750826
3,cross_industry_degree_percentile,log_turnover_20,252,129,-0.09888896435733671,-0.10557297169346988
3,cross_industry_degree_percentile,momentum_120_20,60,135,-0.14256306073507743,-0.13030103653754857
3,cross_industry_degree_percentile,momentum_120_20,120,135,-0.09603554367902299,-0.08308764001357745
3,cross_industry_degree_percentile,momentum_120_20,252,129,-0.040812441400383405,-0.03661202255345279
3,cross_industry_degree_percentile,reversal_20,60,135,-0.008940526692230293,-0.02164355590332646
3,cross_industry_degree_percentile,reversal_20,120,135,-0.00852865622887215,-0.0031046454329670876
3,cross_industry_degree_percentile,reversal_20,252,129,4.009914760688569e-05,0.0070927796163809285
3,cross_industry_degree_percentile,volatility_60,60,135,-0.15383579662850685,-0.16867926607735395
3,cross_industry_degree_percentile,volatility_60,120,135,-0.16210941611755086,-0.18339342047472063
3,cross_industry_degree_percentile,volatility_60,252,129,-0.14523701986720416,-0.16417035228283042
4,cross_industry_degree_ratio,log_market_value,60,135,-0.2313577110484751,-0.23059401872438662
4,cross_industry_degree_ratio,log_market_value,120,135,-0.21785974455803653,-0.22424753736744252
4,cross_industry_degree_ratio,log_market_value,252,129,-0.15377061836183917,-0.18013734081424626
4,cross_industry_degree_ratio,log_turnover_20,60,135,-0.03803658738586908,-0.04262167293798506
4,cross_industry_degree_ratio,log_turnover_20,120,135,-0.036200373520687536,-0.04951954326903027
4,cross_industry_degree_ratio,log_turnover_20,252,129,-0.04482375085681034,-0.04823807594627451
4,cross_industry_degree_ratio,momentum_120_20,60,135,-0.029465784015042632,-0.03133586025810804
4,cross_industry_degree_ratio,momentum_120_20,120,135,-0.02818890959975763,-0.02787364207924078
4,cross_industry_degree_ratio,momentum_120_20,252,129,-0.028752238867431338,-0.022100291229272744
4,cross_industry_degree_ratio,reversal_20,60,135,-0.0025581110028866697,0.00040609651784798194
4,cross_industry_degree_ratio,reversal_20,120,135,0.002094585030447069,-0.007006332470904635
4,cross_industry_degree_ratio,reversal_20,252,129,-0.005721278938471205,-0.00626044094987932
4,cross_industry_degree_ratio,volatility_60,60,135,-0.024358797631058568,-0.030747431800524645
4,cross_industry_degree_ratio,volatility_60,120,135,-0.032721284223660954,-0.03906809918032298
4,cross_industry_degree_ratio,volatility_60,252,129,-0.04776176380574101,-0.04092729899632881
5,delta_residual_degree_percentile_1m,log_market_value,60,135,0.0016447960131283264,0.00819705028472789
5,delta_residual_degree_percentile_1m,log_market_value,120,134,0.005526468398683359,0.003951133878267887
5,delta_residual_degree_percentile_1m,log_market_value,252,128,0.011942437003196976,0.007236312576698262
5,delta_residual_degree_percentile_1m,log_turnover_20,60,135,-0.03532323999155141,-0.035665908370745264
5,delta_residual_degree_percentile_1m,log_turnover_20,120,134,-0.03546514871849943,-0.03400220067438031
5,delta_residual_degree_percentile_1m,log_turnover_20,252,128,-0.020584859116771995,-0.03285939105420786
5,delta_residual_degree_percentile_1m,momentum_120_20,60,135,-0.010275332121971145,-0.0011635484377052762
5,delta_residual_degree_percentile_1m,momentum_120_20,120,134,-0.035192834709318103,-0.03452818530027118
5,delta_residual_degree_percentile_1m,momentum_120_20,252,128,-0.019854979276857143,-0.022233659950528704
5,delta_residual_degree_percentile_1m,reversal_20,60,135,-0.024125904787611483,-0.03296672718286243
5,delta_residual_degree_percentile_1m,reversal_20,120,134,-0.026176605239348286,-0.029924535820213156
5,delta_residual_degree_percentile_1m,reversal_20,252,128,-0.02555613411591704,-0.03314019681949368
5,delta_residual_degree_percentile_1m,volatility_60,60,135,0.00045085180116637385,-0.0007402070902095617
5,delta_residual_degree_percentile_1m,volatility_60,120,134,-0.028929994662544527,-0.019385005659194765
5,delta_residual_degree_percentile_1m,volatility_60,252,128,-0.024335663489927318,-0.027630055773740163
6,delta_cross_industry_degree_percentile_1m,log_market_value,60,135,0.0006161671004222737,0.009976657619617203
6,delta_cross_industry_degree_percentile_1m,log_market_value,120,134,0.003749306327314088,0.00727757493521102
6,delta_cross_industry_degree_percentile_1m,log_market_value,252,128,0.009192304182686887,-0.002832633417773184
6,delta_cross_industry_degree_percentile_1m,log_turnover_20,60,135,-0.04032560079902562,-0.035710862695991406
6,delta_cross_industry_degree_percentile_1m,log_turnover_20,120,134,-0.045074216253051747,-0.04167246328973444
6,delta_cross_industry_degree_percentile_1m,log_turnover_20,252,128,-0.030699299338181517,-0.03480681699418611
6,delta_cross_industry_degree_percentile_1m,momentum_120_20,60,135,-0.01404955853592485,-0.006892685299151578
6,delta_cross_industry_degree_percentile_1m,momentum_120_20,120,134,-0.040252144626673335,-0.04537420367432172
6,delta_cross_industry_degree_percentile_1m,momentum_120_20,252,128,-0.02271108845816467,-0.020703511958117315
6,delta_cross_industry_degree_percentile_1m,reversal_20,60,135,-0.028208717677322283,-0.03532878596334656
6,delta_cross_industry_degree_percentile_1m,reversal_20,120,134,-0.028590643357389037,-0.03093574266639721
6,delta_cross_industry_degree_percentile_1m,reversal_20,252,128,-0.029002686617793955,-0.027533753403682835
6,delta_cross_industry_degree_percentile_1m,volatility_60,60,135,-0.0008550658052242359,-0.004799267536022721
6,delta_cross_industry_degree_percentile_1m,volatility_60,120,134,-0.03642411052386237,-0.03657722195444436
6,delta_cross_industry_degree_percentile_1m,volatility_60,252,128,-0.03293632084400828,-0.036763513911667864
7,neighbor_jaccard_1m,log_market_value,60,135,0.18723149875659564,0.18100512469946622
7,neighbor_jaccard_1m,log_market_value,120,134,0.20593796747652754,0.20675454346056013
7,neighbor_jaccard_1m,log_market_value,252,128,0.20261376744486032,0.20015464728258175
7,neighbor_jaccard_1m,log_turnover_20,60,135,-0.06139187788710365,-0.05427532548221875
7,neighbor_jaccard_1m,log_turnover_20,120,134,-0.08737386325326069,-0.08613177933106361
7,neighbor_jaccard_1m,log_turnover_20,252,128,-0.10389181808349301,-0.1060696971452621
7,neighbor_jaccard_1m,momentum_120_20,60,135,0.03918311728472972,0.04887785962078552
7,neighbor_jaccard_1m,momentum_120_20,120,134,0.12079091218645759,0.12576669542070557
7,neighbor_jaccard_1m,momentum_120_20,252,128,-0.02550665240507362,-0.03536806078487758
7,neighbor_jaccard_1m,reversal_20,60,135,-0.14835292161730815,-0.15620242399841217
7,neighbor_jaccard_1m,reversal_20,120,134,-0.13115885686522177,-0.13782139065606042
7,neighbor_jaccard_1m,reversal_20,252,128,-0.09463977957862782,-0.09393080436084308
7,neighbor_jaccard_1m,volatility_60,60,135,0.05599745773238106,0.07552015245712983
7,neighbor_jaccard_1m,volatility_60,120,134,-0.023992022737711984,-0.01374747662555861
7,neighbor_jaccard_1m,volatility_60,252,128,-0.08609607325798009,-0.08229553722126814
8,neighbor_retention_1m,log_market_value,60,135,0.17334268846898473,0.1651813931731203
8,neighbor_retention_1m,log_market_value,120,134,0.17233153971114823,0.171531103715592
8,neighbor_retention_1m,log_market_value,252,128,0.1272975367476271,0.13734103720938146
8,neighbor_retention_1m,log_turnover_20,60,135,-0.07074661472145388,-0.06531675402159431
