factor_order,factor_name,method,window,target_name,month_count,mean_value,median_value,std_value,positive_share,negative_share,hac_lag,hac_se,hac_t_stat,mean_q5_minus_q1_bps
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.001984321055408526,0.0021776255830833766,0.010227582181900213,0.556390977443609,0.44360902255639095,4,0.000910330095534877,2.179781889164733,19.84321055408526
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.0007444206381528338,0.0004708324510952844,0.008882479986164843,0.5263157894736842,0.47368421052631576,4,0.0007473772396662708,0.9960440305691445,7.444206381528338
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.0015571550301089118,-0.00013936780365940036,0.015775444252945317,0.48872180451127817,0.5112781954887218,4,0.0014497697317962948,1.0740705892511389,15.571550301089118
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.001047945855593793,0.0021988377825886587,0.013627206145797231,0.556390977443609,0.44360902255639095,4,0.0013091061175840375,0.8005048953004534,10.479458555937931
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.00233598688740538,0.0020053585940433835,0.015526807080687093,0.556390977443609,0.44360902255639095,4,0.0012529338651065217,1.8644135596149598,23.3598688740538
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.0008238727904161405,0.0008246178308620167,0.01222983714082337,0.5639097744360902,0.43609022556390975,4,0.0011409143374071509,0.7221162565880967,8.238727904161406
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.0010069434750177456,0.0010138034566670735,0.020828093797956145,0.5413533834586466,0.45864661654135336,4,0.001540352929857585,0.6537095853161675,10.069434750177455
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,-0.001095861477483668,-0.0011516866393090027,0.01214644682081251,0.45864661654135336,0.5413533834586466,4,0.0011642646907055801,-0.9412477130261008,-10.95861477483668
1,residual_degree_percentile,RAW_COMMON,120,future_excess_return,128,-0.0008473128911713479,-0.0007099134761777192,0.03159533076167469,0.484375,0.515625,4,0.0021791645654342657,-0.38882464620219936,-8.473128911713479
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,0.002896842065192182,0.002073643822004558,0.020538109628156748,0.5639097744360902,0.43609022556390975,4,0.0016018829187019446,1.8083981240898575,28.96842065192182
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,0.002602941902027277,0.002575242183583841,0.016259074930123716,0.5714285714285714,0.42857142857142855,4,0.0014878467286409424,1.7494691166239325,26.029419020272773
2,delta_degree_percentile,RAW_COMMON,120,future_excess_return,133,-0.011563857329738981,-0.011995153772009241,0.029249828864609216,0.3157894736842105,0.6842105263157895,4,0.002574414510731863,-4.49183971016834,-115.63857329738981
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,-0.007010121268821816,-0.0066448910249563235,0.015099639443465103,0.3007518796992481,0.6992481203007519,4,0.001181479997118386,-5.933338935842679,-70.10121268821815
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,-0.001973158514623729,-0.002246260186569869,0.012981760616556114,0.45112781954887216,0.5488721804511278,4,0.0012181963660866182,-1.6197376462075495,-19.73158514623729
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,0.0021479059465835232,0.0019506131734114002,0.018722927657242875,0.5338345864661654,0.46616541353383456,4,0.0015087327581257935,1.423649042559224,21.47905946583523
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,0.0020850595484772907,0.002579804004751293,0.014343457782999544,0.556390977443609,0.44360902255639095,4,0.001291886881289784,1.613964487661354,20.850595484772906
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,-0.0008845859174010588,-0.0007511679145587044,0.01406470160891904,0.48872180451127817,0.5112781954887218,4,0.0010354942723164733,-0.8542644233291393,-8.845859174010588
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,-0.0013485822260093396,-0.0013556808681475935,0.012506986366147015,0.45864661654135336,0.5413533834586466,4,0.0009734408800883513,-1.3853766095039484,-13.485822260093396
