analysis_date,window,factor_order,factor_name,method,target_name,common_sample_n,spread_status,q1_return,q2_return,q3_return,q4_return,q5_return,q5_minus_q1,q5_minus_q1_bps,portfolio_spearman
2015-07-31,60,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1458,PASS,0.010886449360222166,-0.007916144624493379,0.014204610710201605,0.008823705522703118,0.0004894962175582806,-0.010396953142663885,-103.96953142663885,-0.19999999999999998
2015-07-31,60,4,cross_industry_degree_ratio,RAW_COMMON,future_excess_return,1276,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
2015-07-31,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,future_excess_return,1276,PASS,0.006133760981937977,0.0006122877367030936,-0.0039265533081919435,0.015429905288736214,0.0030995929356123202,-0.003034168046325657,-30.341680463256573,0.09999999999999999
2015-07-31,60,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1276,PASS,0.005746057443457679,-0.0007550152564850472,-0.0006743484224136953,0.0136152109263593,0.00341860934991268,-0.002327448093544999,-23.274480935449994,0.19999999999999998
2015-07-31,60,5,delta_residual_degree_percentile_1m,RAW_COMMON,future_excess_return,1364,PASS,0.005544170495416889,0.0023682297293366617,0.008436778296153398,0.012879824270554703,0.003415786032584046,-0.0021283844628328433,-21.283844628328435,0.19999999999999998
2015-07-31,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1364,PASS,0.01054909038289285,-0.0012331987737957226,0.005874361352741571,0.017336059369531507,0.00034059179698626757,-0.010208498585906582,-102.08498585906582,0.0
2015-07-31,60,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1364,PASS,0.006683420060948734,0.002643962523431587,0.007155499068605025,0.009193651704288404,0.007195063583228748,0.0005116435222800144,5.116435222800144,0.7999999999999999
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,future_excess_return,1364,PASS,0.006580966529092704,-0.002016792367155462,0.014342335832948286,0.016034097826988704,-0.0022039724572274788,-0.008784938986320183,-87.84938986320182,-0.09999999999999999
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1364,PASS,0.0058667031089686406,-0.004018098028756016,0.005829538840158939,0.02161220162672551,0.003576394396231631,-0.0022903087127370096,-22.903087127370096,0.0
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1364,PASS,0.005020605981408939,-0.0012943071602244567,0.0025190255141437456,0.016249545862465076,0.010359743323095779,0.005339137341686839,53.39137341686839,0.6
2015-07-31,60,7,neighbor_jaccard_1m,RAW_COMMON,future_excess_return,1353,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
2015-07-31,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1353,PASS,-0.00312761302637985,-0.006264961253087711,0.014787651350699066,0.003912559376743517,0.021331711463624208,0.02445932449000406,244.5932449000406,0.7999999999999999
2015-07-31,60,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1353,PASS,0.008666155698688692,0.0034812591184134444,-0.007445351571746091,0.005523245444997522,0.0204559466250824,0.01178979092639371,117.8979092639371,0.3
2015-07-31,60,8,neighbor_retention_1m,RAW_COMMON,future_excess_return,1334,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
2015-07-31,60,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1334,PASS,-0.00440625585842739,-0.00026551858013517456,0.016231737327964235,0.00856875804854335,0.013944735979926133,0.018350991838353523,183.50991838353522,0.7
2015-07-31,60,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1334,PASS,0.00906749897173186,0.006398613632064284,-0.0045473292203987645,0.007681925229426269,0.015394924085765246,0.006327425114033386,63.27425114033386,0.3
2015-07-31,60,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,1458,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
