analysis_date,window,factor_order,factor_name,method,target_name,common_sample_n,pair_n,alpha_rank_ic,ic_status
2015-07-31,120,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1522,1522,-0.11608817306735082,PASS
2015-07-31,120,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1522,1522,-0.06988691056346283,PASS
2015-07-31,120,3,cross_industry_degree_percentile,RAW_COMMON,future_excess_return,1522,1522,0.07464084053966183,PASS
2015-07-31,120,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1522,1522,0.07812081831704915,PASS
2015-07-31,120,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1522,1522,0.04786813532151452,PASS
2015-07-31,120,4,cross_industry_degree_ratio,RAW_COMMON,future_excess_return,1268,1268,-0.009546474075850174,PASS
2015-07-31,120,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,future_excess_return,1268,1268,-0.05056474035449277,PASS
2015-07-31,120,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1268,1268,-0.04211891684093181,PASS
2015-07-31,120,5,delta_residual_degree_percentile_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,7,neighbor_jaccard_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,8,neighbor_retention_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,120,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,1522,1522,0.11142523167495184,PASS
2015-07-31,120,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1522,1522,0.11034914006692807,PASS
2015-07-31,120,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1522,1522,0.06469709242257662,PASS
2015-08-31,60,1,residual_degree_percentile,RAW_COMMON,future_excess_return,1496,1496,-0.035195211063892846,PASS
2015-08-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1496,1496,0.032924054233071286,PASS
2015-08-31,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1496,1496,-0.016681278758441834,PASS
2015-08-31,60,2,delta_degree_percentile,RAW_COMMON,future_excess_return,1496,1496,-0.07289918689424474,PASS
2015-08-31,60,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1496,1496,-0.007223154571925526,PASS
2015-08-31,60,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1496,1496,-0.000998773149153777,PASS
2015-08-31,60,3,cross_industry_degree_percentile,RAW_COMMON,future_excess_return,1496,1496,-0.02524949604599614,PASS
2015-08-31,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1496,1496,0.035520525371450194,PASS
2015-08-31,60,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1496,1496,-0.014366954097551243,PASS
2015-08-31,60,4,cross_industry_degree_ratio,RAW_COMMON,future_excess_return,1330,1330,0.03912189288282236,PASS
2015-08-31,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,future_excess_return,1330,1330,-0.0030322476815393155,PASS
2015-08-31,60,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1330,1330,-0.014472814463473168,PASS
2015-08-31,60,5,delta_residual_degree_percentile_1m,RAW_COMMON,future_excess_return,1370,1370,0.06522533302646143,PASS
2015-08-31,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1370,1370,0.053856113164157594,PASS
2015-08-31,60,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1370,1370,0.02862614342684636,PASS
2015-08-31,60,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,future_excess_return,1370,1370,0.06157061184963273,PASS
2015-08-31,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1370,1370,0.0549057389221594,PASS
2015-08-31,60,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1370,1370,0.0318569115081451,PASS
2015-08-31,60,7,neighbor_jaccard_1m,RAW_COMMON,future_excess_return,1314,1314,-0.03619867236454617,PASS
2015-08-31,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1314,1314,0.06256697501879761,PASS
2015-08-31,60,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1314,1314,0.032856641189016024,PASS
2015-08-31,60,8,neighbor_retention_1m,RAW_COMMON,future_excess_return,1196,1196,0.006752907945731676,PASS
2015-08-31,60,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1196,1196,0.0719362545829175,PASS
2015-08-31,60,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1196,1196,0.036895832498186815,PASS
2015-08-31,60,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,1496,1496,-0.056012195596889365,PASS
2015-08-31,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1496,1496,0.034223106400195234,PASS
2015-08-31,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1496,1496,-0.027904129741591215,PASS
2015-08-31,120,1,residual_degree_percentile,RAW_COMMON,future_excess_return,1482,1482,-0.11133741495579666,PASS
2015-08-31,120,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1482,1482,-0.030433547673413684,PASS
2015-08-31,120,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1482,1482,-0.058996599669062975,PASS
2015-08-31,120,2,delta_degree_percentile,RAW_COMMON,future_excess_return,1482,1482,-0.0476849343452323,PASS
2015-08-31,120,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1482,1482,0.03233505378061494,PASS
2015-08-31,120,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1482,1482,0.04047050836759784,PASS
