factor_order,factor_name,method,window,target_name,month_count,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,hac_lag,hac_se,hac_t_stat
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.01582097271019113,0.011346127527272754,0.06848527798732808,0.5714285714285714,0.42857142857142855,4,0.005518660789077524,2.866813764220449
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.002886244877969816,-0.0007181341982235444,0.04871113222834016,0.48872180451127817,0.5112781954887218,4,0.004515505317217834,0.6391853569443111
1,residual_degree_percentile,RAW_COMMON,120,future_excess_return,133,-0.001314454554433199,0.0127099487704925,0.1073825080957576,0.5338345864661654,0.46616541353383456,4,0.00769520680532317,-0.17081471462520323
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,0.01266117392013736,0.010920620621420865,0.06817467330064776,0.5639097744360902,0.43609022556390975,4,0.0056370782013771175,2.246052559115515
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,0.008408233238288423,0.004559942750096015,0.05674534588725639,0.5263157894736842,0.47368421052631576,4,0.004993474094541394,1.6838443694901444
2,delta_degree_percentile,RAW_COMMON,120,future_excess_return,133,-0.046402614888215336,-0.04112596324913435,0.10808416361236178,0.3157894736842105,0.6842105263157895,4,0.009057182188673268,-5.123294852812558
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,-0.034457020248327905,-0.0359512484940929,0.04627680569674392,0.23308270676691728,0.7669172932330827,4,0.0036655614394159046,-9.400202620480021
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,-0.00534614639957436,-0.007094606032033071,0.04237982271175675,0.43609022556390975,0.5639097744360902,4,0.003563066257583481,-1.500434180306315
3,cross_industry_degree_percentile,RAW_COMMON,120,future_excess_return,133,0.0025338582549568854,0.010769604608616335,0.10290622540567847,0.5413533834586466,0.45864661654135336,4,0.007920153324336238,0.3199254043695221
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,0.012386424594856558,0.013705956809641422,0.06290521848226342,0.6015037593984962,0.39849624060150374,4,0.005466696345779174,2.265797075855529
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,0.008686778597014763,0.008114197744387612,0.05160652221491633,0.556390977443609,0.44360902255639095,4,0.004649187626493352,1.8684508552662484
4,cross_industry_degree_ratio,RAW_COMMON,120,future_excess_return,133,0.008830197700814134,0.011212437865612854,0.07527032262482539,0.5639097744360902,0.43609022556390975,4,0.006291213411566829,1.4035762456538523
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,0.002597847249758001,0.005730987401576649,0.040219235669945,0.5263157894736842,0.47368421052631576,4,0.0033232139648978806,0.7817273510518095
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,0.0009377608264336471,0.0030253028327468113,0.038045457059467366,0.5338345864661654,0.46616541353383456,4,0.0030371992189968163,0.3087584181400483
9,outside_community_degree_percentile,RAW_COMMON,120,future_excess_return,133,0.007236885811329011,0.006347650600683916,0.12293151295051666,0.518796992481203,0.48120300751879697,4,0.009206649956304073,0.7860498493671626
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,120,future_excess_return,133,0.01763754968721198,0.018646206616079523,0.07044167271104426,0.6390977443609023,0.3609022556390977,4,0.005891683159464609,2.993635131053915
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,133,0.004594381869529194,0.003682350902607082,0.05415364874431849,0.5263157894736842,0.47368421052631576,4,0.005047356043824859,0.9102551572818304
5,delta_residual_degree_percentile_1m,RAW_COMMON,120,future_excess_return,132,0.006457960470612786,0.010281800379974563,0.050428636465195346,0.5606060606060606,0.4393939393939394,4,0.004955407284221533,1.3032148722014272
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,120,future_excess_return,132,0.006275803875874197,0.008258466433573539,0.03338295972981551,0.5909090909090909,0.4090909090909091,4,0.003332865543602295,1.8830054179416598
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,132,0.0005675393503454411,-0.0002081751635274854,0.02848683087344594,0.5,0.5,4,0.002555252921762473,0.22210691767998592
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,120,future_excess_return,132,0.00880883224934801,0.012785039916142382,0.046331925697719045,0.5757575757575758,0.42424242424242425,4,0.00447430408691226,1.9687602984148158
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,120,future_excess_return,132,0.006824455860218057,0.006155757735334796,0.03179636228799182,0.5833333333333334,0.4166666666666667,4,0.00313598796347625,2.1761741242951493
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,132,0.0015945352148796555,-0.0005926560148764083,0.02700723507506129,0.49242424242424243,0.5075757575757576,4,0.0022881175267784578,0.6968764480925386
7,neighbor_jaccard_1m,RAW_COMMON,120,future_excess_return,132,0.005229172999009267,0.00031202477913236154,0.08911343525545377,0.5,0.5,4,0.005992944578040356,0.8725548736376206
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,120,future_excess_return,132,0.01235491424708961,0.0131163959180901,0.0557846908951287,0.5984848484848485,0.4015151515151515,4,0.004181566429144299,2.9546138884652073
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,132,0.004146600331312315,0.0012741879373859462,0.045387135478957126,0.5075757575757576,0.49242424242424243,4,0.0036669989374926337,1.1307885281656547
8,neighbor_retention_1m,RAW_COMMON,120,future_excess_return,132,0.008270288950840591,0.0005684516538063057,0.07951035410411733,0.5075757575757576,0.49242424242424243,4,0.005069300323993018,1.631445845040445
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,120,future_excess_return,132,0.01406709853003775,0.016035649190883575,0.0514154916589065,0.5833333333333334,0.4166666666666667,4,0.003847331502883877,3.656326084584433
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,future_excess_return,132,0.004010234424494605,0.00189531327200399,0.039444675512299576,0.5227272727272727,0.4772727272727273,4,0.003228004644509786,1.2423261011458708
1,residual_degree_percentile,RAW_COMMON,252,future_excess_return,127,0.0023324799223116,0.01768551442826557,0.10867171612315937,0.5590551181102362,0.4409448818897638,4,0.0079783256248403,0.292352058814131
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,0.015100460500096642,0.012391002894864632,0.06415011736246694,0.6062992125984252,0.3937007874015748,4,0.005751414279912547,2.6255212657583504
