factor_order,factor_name,window,raw_common_alpha_ic,industry_size_common_alpha_ic,full_control_alpha_ic,full_vs_ind_size_alpha_same_sign,full_vs_ind_size_alpha_abs_retention,raw_common_spread,industry_size_common_spread,full_control_spread,full_control_spread_bps,full_vs_ind_size_spread_same_sign,full_vs_ind_size_spread_abs_retention,raw_common_mean_risk_ic,industry_size_common_mean_risk_ic,full_control_mean_risk_ic,raw_common_ivol_ic,industry_size_common_ivol_ic,full_control_ivol_ic,full_vs_ind_size_ivol_same_sign,full_vs_ind_size_ivol_abs_retention,factor_sign_flipped,window_selected,factor_removed
90,cross_industry_degree_ratio,120,0.008830197700814134,0.002597847249758001,0.0009377608264336471,True,,0.0016066163549324016,-0.0008845859174010588,-0.0013485822260093396,-13.485822260093396,True,,-0.02105266017600482,-0.0049469065690889704,-0.004148282063921522,-0.023349369954107854,0.005866739255699887,0.005271592094882002,True,,False,False,False
90,cross_industry_degree_ratio,252,0.0016210473300158736,0.00048063733299482563,-0.0007619702471824064,False,,-0.0014395273941908116,-0.0022326686964697982,-0.002238716019780878,-22.38716019780878,True,1.0027085627709302,-0.03199786125140137,-0.010679511821989129,-0.008865325749318632,-0.029838607067473627,-0.0021212564958612815,-0.00033864167747746956,True,,False,False,False
110,delta_residual_degree_percentile_1m,60,0.009521708582076814,0.008050223658135605,0.0028542703957086923,True,0.35455790011798605,0.0022803004850445235,0.0019335537852414241,0.001178352224410964,11.783522244109639,True,0.6094230392788553,-0.014491825206656381,-0.01452104754963012,-0.0068094303589009645,-0.015226222632381185,-0.0179346666043275,-0.009981160941705128,True,0.5565289370529335,False,False,False
110,delta_residual_degree_percentile_1m,120,0.006457960470612786,0.006275803875874197,0.0005675393503454411,True,0.09043293282749135,0.000992400595117354,0.0006434444967444998,0.00024556421769600075,2.4556421769600076,True,,-0.014528164832859207,-0.015630489504289774,0.0054553753174036435,-0.018080246299548346,-0.022419107644738173,-0.0004549385566539433,True,0.020292447133180996,False,False,False
110,delta_residual_degree_percentile_1m,252,0.0017470135578395779,0.007560918941584165,0.0020262160471441856,True,0.26798542119004026,-0.0003191857248828601,0.0008825351684963161,0.0007449297317276809,7.449297317276809,True,,-0.00921768921695866,-0.01225990085181281,0.008653490640633105,-0.01201589438926744,-0.017633224508338978,0.004437627456309498,False,0.2516628455680858,False,False,False
140,delta_cross_industry_degree_percentile_1m,60,0.011134463896586129,0.008517640112082898,0.0036859789468535005,True,0.43274650001056847,0.0020081152320354802,0.001984321055408526,0.0007444206381528338,7.444206381528338,True,0.3751513073571528,-0.018243233953031363,-0.014660806210831528,-0.009046667759978585,-0.01857306455424886,-0.016964087412994863,-0.011211224382976948,True,0.6608798994037783,False,False,False
140,delta_cross_industry_degree_percentile_1m,120,0.00880883224934801,0.006824455860218057,0.0015945352148796555,True,0.23365016164507899,0.0013375657631178063,0.0013772155378747525,0.0006904692567831132,6.904692567831132,True,0.5013516314582172,-0.02036420977437291,-0.01742792464077139,0.0019413111766657472,-0.023099557308819282,-0.023151431614195084,-0.0033350182931033865,True,0.1440523570498574,False,False,False
140,delta_cross_industry_degree_percentile_1m,252,0.002500401661542386,0.007331785954982803,0.0018959006814231246,True,0.2585864744366465,-0.0002537915886078901,0.000599017489671832,0.0004956239180800899,4.956239180800899,True,,-0.016272658744917103,-0.014239144691917203,0.006931758447437813,-0.01786828046966464,-0.017570306378027308,0.004302252342111432,False,0.24485926708094571,False,False,False
160,neighbor_jaccard_1m,60,-0.0013806063038267254,0.009006202124884337,0.00842356703949706,True,0.9353073496121697,-0.0007977641517479969,0.0015571550301089118,0.001047945855593793,10.479458555937931,True,0.6729874902182968,-0.06660764525282245,-0.04225244478044304,-0.06091232860299742,-0.059718051057023734,-0.058637663665051847,-0.06922809476927831,True,1.180607999062186,False,False,False
160,neighbor_jaccard_1m,120,0.005229172999009267,0.01235491424708961,0.004146600331312315,True,0.3356235622832518,0.0005639728283654218,0.0022263548605079043,-1.998375388928382e-05,-0.1998375388928382,False,0.008975996703744197,-0.07525770315509023,-0.04489186263593773,-0.030379184702836383,-0.06253293597984684,-0.0607983078905796,-0.044365877889631304,True,0.7297222476894885,False,False,False
160,neighbor_jaccard_1m,252,0.01490626047167526,0.016149575874089078,0.005122008504658674,True,0.3171605585553858,0.0024321012373961968,0.0034904516920418673,0.0017012280332081018,17.01228033208102,True,0.4873948082670373,-0.07571698682253733,-0.04158656083501934,0.0020429634814038517,-0.05786375824462605,-0.05850840568209766,-0.011772579276042038,True,0.2012117598966502,False,False,False
170,neighbor_retention_1m,60,0.003398205351538588,0.012029418486518261,0.00855878846488546,True,0.7114881300769074,0.00031683222220284317,0.00233598688740538,0.0008238727904161405,8.238727904161406,True,0.3526872495980617,-0.06640847521895679,-0.044103387107912805,-0.05466124456704072,-0.059118635862552255,-0.06003177626036035,-0.06387621279194095,True,1.064040026317181,False,False,False
170,neighbor_retention_1m,120,0.008270288950840591,0.01406709853003775,0.004010234424494605,True,0.28507900303189554,0.00034766517167401245,0.0030532330532541505,0.0004903871992692255,4.903871992692255,True,0.1606124362981622,-0.06720624099374753,-0.0413508115665481,-0.01841465778088882,-0.05665504741170108,-0.0593987176268357,-0.03415358683718754,True,0.5749886226795798,False,False,False
170,neighbor_retention_1m,252,0.009201149692294677,0.015704445140127594,0.002300110205848413,True,0.14646236688561703,0.0010707535702158765,0.00278219886509989,0.0015595494126456116,15.595494126456115,True,0.5605456289299502,-0.051876710875544685,-0.028634840895045813,0.020889024305765235,-0.04377596705888789,-0.05112456237324657,0.002111687633473967,False,0.04130475715483114,False,False,False
220,outside_community_degree_percentile,60,0.012077360943256177,0.01582097271019113,0.002886244877969816,True,0.18243156921133122,-0.00168514599024275,0.0010069434750177456,-0.001095861477483668,-10.95861477483668,False,1.0883048598774179,-0.1695369860405535,-0.12365517351062351,-0.05610294732880483,-0.1730106557962442,-0.1450823466220188,-0.07818788469678163,True,0.5389207337573849,False,False,False
220,outside_community_degree_percentile,120,0.007236885811329011,0.01763754968721198,0.004594381869529194,True,0.26048867053569963,-0.004060948780965013,0.0021640861165498804,5.895878291556815e-05,0.5895878291556815,True,0.02724419442677442,-0.17283235547077935,-0.124535432471096,-0.05556947793809685,-0.16564529618711027,-0.1444646408925353,-0.07688828203282735,True,0.5322290738951353,False,False,False
220,outside_community_degree_percentile,252,0.012519981552235186,0.024133443174292845,0.013336065002242624,True,0.5525968634450105,-0.0006427100096467287,0.0037263244142484303,0.002554727615520986,25.547276155209858,True,0.6855891574422281,-0.15249978088222993,-0.10438178789038177,-0.047575857316335055,-0.1259725229695769,-0.11836808626834343,-0.0630723764685222,True,0.5328495074722721,False,False,False
