analysis_date,window,density_fraction,density_percent,network_id,n_nodes,n_edges,mean_degree,isolated_node_share,connected_component_count,giant_component_share,degree_gini,strength_gini,top1pct_degree_share,top5pct_degree_share,top1pct_strength_share,top5pct_strength_share,industry_labeled_edge_count,same_industry_edge_share,industry_enrichment
2018-06-29,252,0.01,1.0,B0_RAW_POSITIVE,2647,34674,26.19871552701171,0.4027200604457877,1096,0.5666792595391009,0.8182449519175192,0.8190285761165339,0.16653688642787104,0.4809799850031724,0.1692950414069607,0.483815371921511,34674,0.1709349945203899,3.4382848697375086
2018-06-29,252,0.01,1.0,M1_RESIDUAL_POSITIVE,2647,34674,26.19871552701171,0.06875708349074423,188,0.9274650547789951,0.6245208242070963,0.6526219842889518,0.07297975428274787,0.27075041818076945,0.08810721582212414,0.3035867055373969,34674,0.32127819115187173,6.462374464126177
2018-07-31,252,0.01,1.0,B0_RAW_POSITIVE,2695,35990,26.708719851576994,0.3888682745825603,1076,0.587012987012987,0.8143734937709455,0.8150227578521394,0.16030841900527926,0.4713392609058072,0.1628205325448062,0.47391916001050505,35990,0.1810780772436788,3.6310724292244374
2018-07-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,2695,35990,26.708719851576994,0.05269016697588126,147,0.9443413729128015,0.6059484983717907,0.6350795461859731,0.06561544873575993,0.25076410113920533,0.07913960291320496,0.28282820502140826,35990,0.3378994165045846,6.775736046002514
2018-08-31,252,0.01,1.0,B0_RAW_POSITIVE,2774,38110,27.476568132660418,0.39617880317231435,1131,0.5775054073540015,0.8201875211531451,0.8208846186746928,0.1638546313303595,0.4765284702177906,0.1664060055157305,0.47955492657704196,38110,0.17378640776699028,3.4805676311593956
2018-08-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,2774,38110,27.476568132660418,0.04578226387887527,133,0.9502523431867339,0.5938769153232861,0.6228170841012213,0.06502230385725531,0.24630018367882445,0.07588723260981121,0.27728432188618707,38110,0.333691944371556,6.683131294799039
2018-09-28,252,0.01,1.0,B0_RAW_POSITIVE,2834,39837,28.113620324629498,0.4011997177134792,1170,0.5688073394495413,0.8244024002609505,0.8251443754115932,0.16552451238798102,0.48068378642970105,0.16828011925557912,0.48380602284545804,39837,0.1683610713658157,3.3596020391155474
2018-09-28,252,0.01,1.0,M1_RESIDUAL_POSITIVE,2834,39837,28.113620324629498,0.04728299223712068,140,0.9491884262526464,0.6041746971413804,0.6311977880618449,0.0685041544292994,0.25577980269598616,0.07841656882589237,0.28506137858500635,39837,0.3288400230941085,6.56191840053879
2018-10-31,252,0.01,1.0,B0_RAW_POSITIVE,2899,41671,28.748533977233528,0.43842704380820974,1300,0.535012073128665,0.8392979106716536,0.8400530948093443,0.16252309759784983,0.4960524105493029,0.16527016455066573,0.4991428438943589,41671,0.15391999232079864,3.0510221533848627
2018-10-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,2899,41671,28.748533977233528,0.04104863746119351,124,0.9561917902725078,0.5987083117760719,0.626374303694295,0.06317342996328382,0.24903410045355284,0.07258613027891989,0.2777617611907278,41671,0.3110796477166375,6.166261330578107
2018-11-30,252,0.01,1.0,B0_RAW_POSITIVE,2953,43318,29.338300033863867,0.421943785980359,1278,0.5499492041991195,0.835581723280437,0.8363356041544698,0.159598781107161,0.4928782492266494,0.16210766649214306,0.4958678524515088,43318,0.15924096218661987,3.153212861483308
2018-11-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,2953,43318,29.338300033863867,0.04165255672197765,128,0.9556383338977311,0.6012324343208035,0.627635388142465,0.06413038459762685,0.2521699986148945,0.07403383027726608,0.2805315796103057,43318,0.30546193268387273,6.048610116431884
2018-12-28,252,0.01,1.0,B0_RAW_POSITIVE,3008,44996,29.91755319148936,0.425531914893617,1313,0.5435505319148937,0.8383225228767379,0.8391203058357666,0.1565694728420304,0.4931660592052627,0.1589811128774191,0.4963772804948101,44996,0.15772513112276645,3.11510578170861
2018-12-28,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3008,44996,29.91755319148936,0.0442154255319149,143,0.949468085106383,0.6024088666037455,0.6286082777596531,0.06658369632856254,0.25554493732776246,0.07694712515912298,0.28245038005106327,44996,0.30958307405102675,6.114333315372826
2019-01-31,252,0.01,1.0,B0_RAW_POSITIVE,3066,46784,30.517938682322242,0.4155251141552511,1304,0.5593607305936074,0.8340981910843344,0.834877428853336,0.1572546169630643,0.48421468878248974,0.1597294056474393,0.487005268368604,46784,0.159327975376197,3.1564205344891474
2019-01-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3066,46784,30.517938682322242,0.0410958904109589,133,0.9549902152641878,0.6203954881570342,0.6468709368885546,0.06995981532147742,0.2746451778385773,0.08064546052351221,0.3041718403561575,46784,0.29903385772913815,5.924110984371232
2019-02-28,252,0.01,1.0,B0_RAW_POSITIVE,3099,47863,30.889319135204904,0.39657954178767346,1257,0.5808325266214908,0.8283827421625307,0.8291710166177086,0.15496312391617742,0.4767983619915175,0.15696062632847801,0.479018236287817,47863,0.16520067693207696,3.270518595235151
2019-02-28,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3099,47863,30.889319135204904,0.04291707002258793,140,0.9532107131332688,0.6144025464418967,0.6417863449596226,0.06774544011031486,0.26453628063431045,0.07735076387962891,0.29486837351811,47863,0.30626997889810503,6.0633024013598185
2019-03-29,252,0.01,1.0,B0_RAW_POSITIVE,3161,49811,31.51597595697564,0.38627016766845934,1246,0.591584941474217,0.8280071844619166,0.8288855165037916,0.16128967497139185,0.4847423259922507,0.16342831116322318,0.48702308340754896,49811,0.1667302403083656,3.3164676826298947
2019-03-29,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3161,49811,31.51597595697564,0.03543182537171781,115,0.963302752293578,0.589422995195169,0.6186496704907052,0.060217622613478954,0.24226576459015076,0.06984245298428639,0.271196871358785,49811,0.310152375981209,6.1693087572485545
2019-04-30,252,0.01,1.0,B0_RAW_POSITIVE,3237,52230,32.27062094531974,0.36360827927092987,1206,0.61198640716713,0.8211118439501242,0.8219618021948303,0.15439402642159678,0.4808347692896803,0.15630456233915924,0.4829516131378373,52230,0.1698257706299062,3.365800918217703
