analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,status,previous_n,current_n,union_n,pass_drift_n,delist_cash_carry_n,pretrade_weight_sum,target_weight_sum,turnover,buy_weight,sell_weight,total_abs_trade_weight,trade_notional_per_100m_cny,trade_notional_per_1bn_cny
2024-10-31,2024-09-30,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1012,1013,1401,1012,0,1.0,1.0,0.41015380058260176,0.41015380058260176,0.41015380058260187,0.8203076011652035,82030760.11652035,820307601.1652036
2024-10-31,2024-09-30,252,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1003,1005,1220,1003,0,1.0,1.0,0.26721779786381106,0.26721779786381106,0.26721779786381106,0.5344355957276221,53443559.57276221,534435595.7276221
2024-10-31,2024-09-30,252,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1003,1005,1162,1003,0,1.0000000000000002,1.0,0.19885213084309267,0.1988521308430925,0.19885213084309278,0.39770426168618533,39770426.16861853,397704261.68618536
2024-10-31,2024-09-30,252,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,883,884,1138,883,0,1.0,1.0000000000000002,0.3304924078623538,0.33049240786235384,0.3304924078623537,0.6609848157247076,66098481.572470754,660984815.7247076
2024-10-31,2024-09-30,252,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,883,883,1109,883,0,1.0,1.0000000000000002,0.3043438668466617,0.3043438668466617,0.3043438668466616,0.6086877336933234,60868773.36933234,608687733.6933234
2024-10-31,2024-09-30,252,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1001,1003,1765,1001,0,1.0,0.9999999999999998,0.7728512984553688,0.7728512984553686,0.7728512984553688,1.5457025969107376,154570259.69107378,1545702596.9107378
2024-10-31,2024-09-30,252,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1001,1003,1736,1001,0,1.0,0.9999999999999998,0.7509451241024049,0.7509451241024048,0.7509451241024049,1.5018902482048098,150189024.82048097,1501890248.2048097
2024-10-31,2024-09-30,252,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1003,1005,1213,1003,0,0.9999999999999998,1.0,0.24800265492993398,0.248002654929934,0.24800265492993395,0.49600530985986796,49600530.9859868,496005309.85986793
2024-10-31,2024-09-30,252,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1003,1005,1243,1003,0,0.9999999999999998,0.9999999999999998,0.280455354355682,0.28045535435568203,0.280455354355682,0.560910708711364,56091070.8711364,560910708.7113639
2024-10-31,2024-09-30,252,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1001,1003,1750,1001,0,0.9999999999999999,0.9999999999999998,0.7582391755142444,0.7582391755142445,0.7582391755142445,1.5164783510284887,151647835.10284886,1516478351.0284886
2024-10-31,2024-09-30,252,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1001,1003,1753,1001,0,1.0,0.9999999999999997,0.7656042533691183,0.7656042533691183,0.7656042533691185,1.5312085067382366,153120850.67382365,1531208506.7382367
2024-10-31,2024-09-30,252,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,911,905,1432,911,0,1.0,1.0,0.6010901087376187,0.6010901087376187,0.6010901087376186,1.2021802174752374,120218021.74752374,1202180217.4752374
2024-10-31,2024-09-30,252,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,910,905,1419,910,0,1.0,1.0000000000000002,0.5919134884418524,0.5919134884418524,0.5919134884418524,1.1838269768837049,118382697.68837048,1183826976.883705
2024-10-31,2024-09-30,252,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,903,883,1506,903,0,0.9999999999999999,1.0,0.7042044380496653,0.7042044380496655,0.7042044380496653,1.4084088760993305,140840887.60993305,1408408876.0993304
2024-10-31,2024-09-30,252,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,903,883,1478,903,0,1.0,1.0,0.6765459213718088,0.6765459213718089,0.6765459213718088,1.3530918427436176,135309184.27436176,1353091842.7436175
