analysis_date,window,factor_name,method,portfolio_leg,canonical_status,canonical_turnover,delist_cash_carry_n,pre_audit_status,pre_audit_turnover,status_transition,turnover_difference
2025-10-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.5114672251754534,0,PASS,0.5114672251754534,PASS -> PASS,0.0
2025-10-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.3694843256490619,0,PASS,0.3694843256490619,PASS -> PASS,0.0
2025-10-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.32991634537431547,0,PASS,0.3299163453743154,PASS -> PASS,5.551115123125783e-17
2025-10-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.32255264771773423,0,PASS,0.3225526477177342,PASS -> PASS,5.551115123125783e-17
2025-10-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.25050666371373076,0,PASS,0.2505066637137307,PASS -> PASS,5.551115123125783e-17
2025-10-31,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.3030171242839473,0,PASS,0.3030171242839473,PASS -> PASS,0.0
2025-10-31,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.2921005387106348,0,PASS,0.2921005387106348,PASS -> PASS,0.0
2025-10-31,120,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.7629535429871201,0,PASS,0.7629535429871201,PASS -> PASS,0.0
2025-10-31,120,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7864767127212546,0,PASS,0.7864767127212546,PASS -> PASS,0.0
2025-10-31,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.3204261402611327,0,PASS,0.3204261402611327,PASS -> PASS,0.0
2025-10-31,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.3707779147765279,0,PASS,0.3707779147765279,PASS -> PASS,0.0
2025-10-31,120,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.7596387191635492,0,PASS,0.7596387191635492,PASS -> PASS,0.0
2025-10-31,120,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7605216013536289,0,PASS,0.7605216013536289,PASS -> PASS,0.0
2025-10-31,120,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.6292300112007683,0,PASS,0.6292300112007683,PASS -> PASS,0.0
2025-10-31,120,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.5939184099076524,0,PASS,0.5939184099076524,PASS -> PASS,0.0
2025-10-31,120,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.648510095223696,0,PASS,0.648510095223696,PASS -> PASS,0.0
2025-10-31,120,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.6485180226406433,0,PASS,0.6485180226406433,PASS -> PASS,0.0
2025-10-31,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.43981777956230533,0,PASS,0.4398177795623053,PASS -> PASS,5.551115123125783e-17
2025-10-31,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.3909909311955066,0,PASS,0.3909909311955066,PASS -> PASS,0.0
2025-10-31,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.27820016967812666,0,PASS,0.2782001696781266,PASS -> PASS,5.551115123125783e-17
2025-10-31,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.226715113509956,0,PASS,0.226715113509956,PASS -> PASS,0.0
2025-10-31,252,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.2700228771212212,0,PASS,0.2700228771212212,PASS -> PASS,0.0
2025-10-31,252,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.2561946762730709,0,PASS,0.2561946762730709,PASS -> PASS,0.0
2025-10-31,252,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.32093206364902155,0,PASS,0.3209320636490215,PASS -> PASS,5.551115123125783e-17
2025-10-31,252,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.25088424354236305,0,PASS,0.250884243542363,PASS -> PASS,5.551115123125783e-17
2025-10-31,252,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.7866002433652746,0,PASS,0.7866002433652746,PASS -> PASS,0.0
2025-10-31,252,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.7782158491130319,0,PASS,0.7782158491130319,PASS -> PASS,0.0
2025-10-31,252,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.24620874368173654,0,PASS,0.2462087436817365,PASS -> PASS,2.7755575615628914e-17
